System_ID,System_Name,Plant,Production_Line,Automation_Type,PLC,SCADA,DCS,Robot_Model,Status,Efficiency,Cycle_Time,Energy_Consumption,Downtime_Minutes,Alarm_Count,Operator_ID,Maintenance_Status,Project_ID,Compliance_Status,Created_Date
Sys0001,Pay Automation,Dallas Plant,Line A,Robotic Cell,Plc001,Factorytalk,Abb 800Xa,Abb Irb2600,Idle,92.68,30.3,2284.36,44,13,Op001,Completed,Prj001,Passed,2024-12-10
Sys0002,Herself Automation,Dallas Plant,Line B,Fully Automated,Plc002,Wincc,Emerson Deltav,Abb Irb2600,Stopped,80.29,27.68,2118.86,3,5,Op002,In Progress,Prj002,Pending,2024-11-24
Sys0003,Evidence Automation,Houston Plant,Line C,Fully Automated,Plc003,Ignition,Honeywell Experion,Fanuc M-20Id,Running,84.12,20.77,1187.91,135,1,Op003,In Progress,Prj003,Pending,2025-10-12
Sys0004,Coach Automation,Phoenix Plant,Line A,Semi Automated,Plc004,Wincc,Emerson Deltav,Kuka Kr10,Maintenance,88.86,31.14,591.65,116,9,Op004,Completed,Prj004,Passed,2025-04-23
Sys0005,Time Automation,Dallas Plant,Line D,Semi Automated,Plc005,Wonderware,Emerson Deltav,Kuka Kr10,Idle,83.88,16.29,1033.96,36,5,Op005,In Progress,Prj005,Failed,2026-02-02
Sys0006,Bit Automation,Austin Plant,Line B,Semi Automated,Plc006,Wonderware,Honeywell Experion,Abb Irb2600,Maintenance,95.23,33.28,958.1,16,10,Op006,Scheduled,Prj006,Pending,2026-06-23
Sys0007,Democratic Automation,Dallas Plant,Line B,Robotic Cell,Plc007,Factorytalk,Abb 800Xa,Yaskawa Gp25,Stopped,96.23,29.29,785.74,71,7,Op007,In Progress,Prj007,Failed,2026-03-26
Sys0008,Fact Automation,Phoenix Plant,Line C,Robotic Cell,Plc008,Wonderware,Emerson Deltav,Yaskawa Gp25,Maintenance,80.26,39.93,1519.05,46,1,Op008,Completed,Prj008,Passed,2026-01-11
Sys0009,Through Automation,Austin Plant,Packaging Line,Semi Automated,Plc009,Wincc,Honeywell Experion,Yaskawa Gp25,Stopped,87.7,39.13,2221.56,5,3,Op009,In Progress,Prj009,Failed,2025-12-01
Sys0010,Mission Automation,Houston Plant,Packaging Line,Semi Automated,Plc010,Wincc,Honeywell Experion,Yaskawa Gp25,Idle,85.89,38.61,2251.71,134,5,Op010,In Progress,Prj010,Passed,2025-03-17
Sys0011,You Automation,Houston Plant,Packaging Line,Robotic Cell,Plc011,Ignition,Abb 800Xa,Kuka Kr10,Idle,87.95,33.36,1560.71,0,10,Op011,Scheduled,Prj011,Passed,2025-05-04
Sys0012,Lose Automation,Dallas Plant,Line C,Semi Automated,Plc012,Ignition,Abb 800Xa,Abb Irb2600,Running,77.06,24.58,638.43,272,4,Op012,Completed,Prj012,Failed,2024-10-31
Sys0013,Evening Automation,Chicago Plant,Assembly Line,Fully Automated,Plc013,Factorytalk,Emerson Deltav,Yaskawa Gp25,Idle,97.29,32.66,1879.74,159,12,Op013,In Progress,Prj013,Failed,2026-05-30
Sys0014,Interesting Automation,Houston Plant,Line D,Robotic Cell,Plc014,Wonderware,Abb 800Xa,Abb Irb2600,Idle,76.54,10.63,1607.84,112,0,Op014,Completed,Prj014,Failed,2025-05-07
Sys0015,Position Automation,Dallas Plant,Line B,Fully Automated,Plc015,Wincc,Honeywell Experion,Fanuc M-20Id,Idle,81.68,24.56,1578.47,292,15,Op015,Completed,Prj015,Pending,2026-05-06
Sys0016,Suggest Automation,Chicago Plant,Line B,Fully Automated,Plc016,Wincc,Emerson Deltav,Yaskawa Gp25,Maintenance,85.17,24.01,1958.15,50,1,Op016,Scheduled,Prj016,Failed,2026-06-05
Sys0017,Never Automation,Houston Plant,Line A,Fully Automated,Plc017,Ignition,Abb 800Xa,Yaskawa Gp25,Idle,85.13,18.36,999.61,38,14,Op017,In Progress,Prj017,Passed,2026-05-21
Sys0018,Then Automation,Dallas Plant,Packaging Line,Robotic Cell,Plc018,Wincc,Abb 800Xa,Abb Irb2600,Idle,84.75,24.44,2229.3,30,5,Op018,Scheduled,Prj018,Passed,2025-01-15
Sys0019,Movement Automation,Chicago Plant,Line C,Semi Automated,Plc019,Factorytalk,Honeywell Experion,Yaskawa Gp25,Idle,79.56,16.53,616.97,277,1,Op019,In Progress,Prj019,Pending,2025-02-01
Sys0020,Apply Automation,Dallas Plant,Line A,Robotic Cell,Plc020,Wonderware,Emerson Deltav,Abb Irb2600,Running,98.06,12.4,871.65,34,7,Op020,Scheduled,Prj020,Passed,2024-11-14
Sys0021,Difference Automation,Phoenix Plant,Line B,Robotic Cell,Plc021,Wincc,Emerson Deltav,Fanuc M-20Id,Stopped,90.78,26.96,1132.74,133,6,Op021,In Progress,Prj021,Failed,2024-10-25
Sys0022,Outside Automation,Houston Plant,Line B,Semi Automated,Plc022,Wonderware,Abb 800Xa,Kuka Kr10,Stopped,82.59,32.56,645.09,234,3,Op022,Completed,Prj022,Failed,2026-03-28
Sys0023,Industry Automation,Austin Plant,Assembly Line,Semi Automated,Plc023,Ignition,Honeywell Experion,Fanuc M-20Id,Idle,83.87,14.73,2167.49,154,0,Op023,In Progress,Prj023,Failed,2025-04-20
Sys0024,Think Automation,Houston Plant,Packaging Line,Fully Automated,Plc024,Ignition,Honeywell Experion,Fanuc M-20Id,Running,92.82,14.66,1063.51,107,10,Op024,Completed,Prj024,Failed,2025-01-08
Sys0025,Exist Automation,Houston Plant,Assembly Line,Semi Automated,Plc025,Factorytalk,Abb 800Xa,Fanuc M-20Id,Stopped,94.9,11.32,1167.11,66,8,Op025,Completed,Prj025,Failed,2024-10-14
Sys0026,Method Automation,Chicago Plant,Assembly Line,Robotic Cell,Plc026,Wonderware,Emerson Deltav,Fanuc M-20Id,Running,76.81,36.49,2307.86,279,1,Op026,Scheduled,Prj026,Failed,2025-05-28
Sys0027,Off Automation,Phoenix Plant,Line B,Semi Automated,Plc027,Ignition,Abb 800Xa,Kuka Kr10,Maintenance,96.58,33.88,2221.41,183,6,Op027,In Progress,Prj027,Passed,2025-11-08
Sys0028,Those Automation,Dallas Plant,Line C,Robotic Cell,Plc028,Wonderware,Emerson Deltav,Abb Irb2600,Idle,95.75,39.29,2121.54,211,0,Op028,Completed,Prj028,Failed,2025-12-31
Sys0029,It Automation,Houston Plant,Line D,Robotic Cell,Plc029,Ignition,Honeywell Experion,Abb Irb2600,Running,84.18,11.16,1441.38,102,14,Op029,Scheduled,Prj029,Pending,2024-07-23
Sys0030,Ground Automation,Austin Plant,Line B,Fully Automated,Plc030,Ignition,Honeywell Experion,Kuka Kr10,Maintenance,95.74,39.01,1058.25,260,12,Op030,In Progress,Prj030,Failed,2025-02-28
Sys0031,Face Automation,Houston Plant,Line A,Fully Automated,Plc031,Factorytalk,Abb 800Xa,Kuka Kr10,Running,77.6,23.04,1957.09,160,13,Op031,In Progress,Prj031,Failed,2026-05-20
Sys0032,Much Automation,Dallas Plant,Line D,Robotic Cell,Plc032,Ignition,Honeywell Experion,Fanuc M-20Id,Stopped,75.04,37.77,1576.9,100,11,Op032,Scheduled,Prj032,Passed,2025-04-14
Sys0033,Total Automation,Houston Plant,Assembly Line,Semi Automated,Plc033,Wincc,Emerson Deltav,Kuka Kr10,Maintenance,91.01,19.79,1894.42,283,4,Op033,Completed,Prj033,Pending,2024-08-12
Sys0034,Perform Automation,Chicago Plant,Packaging Line,Robotic Cell,Plc034,Ignition,Emerson Deltav,Kuka Kr10,Stopped,88.15,10.01,1073.83,220,10,Op034,Scheduled,Prj034,Pending,2025-04-23
Sys0035,Especially Automation,Chicago Plant,Packaging Line,Fully Automated,Plc035,Wonderware,Emerson Deltav,Abb Irb2600,Running,81.81,29.92,1738.52,47,7,Op035,In Progress,Prj035,Pending,2026-04-28
Sys0036,Strong Automation,Austin Plant,Line B,Fully Automated,Plc036,Wincc,Abb 800Xa,Abb Irb2600,Stopped,89.67,33.05,1410.83,294,6,Op036,In Progress,Prj036,Failed,2026-01-26
Sys0037,Spend Automation,Chicago Plant,Line D,Semi Automated,Plc037,Ignition,Abb 800Xa,Fanuc M-20Id,Running,93.68,16.57,2108.22,265,14,Op037,Completed,Prj037,Failed,2024-07-18
Sys0038,Fine Automation,Austin Plant,Line A,Semi Automated,Plc038,Ignition,Honeywell Experion,Kuka Kr10,Stopped,89.7,31.58,1509.56,280,14,Op038,Completed,Prj038,Failed,2025-09-27
Sys0039,Single Automation,Chicago Plant,Line D,Semi Automated,Plc039,Ignition,Emerson Deltav,Kuka Kr10,Stopped,90.04,18.24,654.97,146,7,Op039,Scheduled,Prj039,Pending,2026-04-24
Sys0040,Material Automation,Houston Plant,Assembly Line,Fully Automated,Plc040,Ignition,Abb 800Xa,Abb Irb2600,Stopped,91.65,31.19,628.46,208,10,Op040,In Progress,Prj040,Pending,2025-10-13
Sys0041,Bit Automation,Chicago Plant,Line A,Fully Automated,Plc041,Wonderware,Honeywell Experion,Fanuc M-20Id,Stopped,86.45,38.28,1097.23,199,13,Op041,In Progress,Prj041,Failed,2026-04-04
Sys0042,No Automation,Phoenix Plant,Assembly Line,Fully Automated,Plc042,Wonderware,Abb 800Xa,Kuka Kr10,Stopped,86.66,21.67,1837.75,207,5,Op042,Scheduled,Prj042,Passed,2025-09-21
Sys0043,Old Automation,Phoenix Plant,Assembly Line,Fully Automated,Plc043,Wonderware,Emerson Deltav,Fanuc M-20Id,Running,90.43,14.07,1423.4,25,8,Op043,Scheduled,Prj043,Pending,2024-09-09
Sys0044,Point Automation,Austin Plant,Line D,Semi Automated,Plc044,Factorytalk,Honeywell Experion,Kuka Kr10,Stopped,81.05,12.46,538.77,276,1,Op044,Scheduled,Prj044,Passed,2026-01-19
