PLC_ID,Manufacturer,Model,Firmware,IP_Address,CPU_Usage,Memory_Usage,Temperature,Voltage,Communication_Status
Plc001,Mitsubishi,S7-1500,V5.9,10.176.0.43,50,28,25.5,23.04,Disconnected
Plc002,Omron,Nx1P2,V3.2,10.143.94.115,18,37,31.2,22.44,Connected
Plc003,Siemens,Nx1P2,V4.1,172.26.236.189,19,26,61.9,22.96,Disconnected
Plc004,Mitsubishi,Controllogix,V4.9,172.22.0.231,71,53,31.9,22.61,Connected
Plc005,Allen Bradley,Controllogix,V2.3,172.28.51.240,44,26,33.4,23.96,Disconnected
Plc006,Siemens,S7-1500,V1.7,192.168.106.60,60,15,32.9,22.07,Connected
Plc007,Omron,S7-1500,V3.0,192.168.87.230,13,48,51.7,23.51,Connected
Plc008,Allen Bradley,Controllogix,V2.5,172.28.11.70,8,21,30.8,23.49,Disconnected
Plc009,Mitsubishi,Fx5U,V2.8,172.24.79.124,83,40,45.2,22.14,Connected
Plc010,Allen Bradley,Controllogix,V3.2,10.153.52.2,73,10,63.9,22.2,Connected
Plc011,Omron,Fx5U,V5.2,10.7.152.11,61,23,32.2,22.71,Disconnected
Plc012,Omron,Controllogix,V5.3,172.21.213.86,57,24,55.5,22.63,Disconnected
Plc013,Siemens,Controllogix,V4.5,10.104.85.229,95,46,47.3,22.08,Disconnected
Plc014,Omron,S7-1500,V4.4,192.168.140.51,63,86,54.4,23.37,Disconnected
Plc015,Allen Bradley,Nx1P2,V3.6,192.168.14.82,29,18,60.8,23.6,Disconnected
Plc016,Allen Bradley,S7-1500,V4.1,172.27.165.107,55,66,45.9,23.35,Connected
Plc017,Allen Bradley,Nx1P2,V4.9,172.23.137.179,18,31,27.6,23.95,Disconnected
Plc018,Allen Bradley,Nx1P2,V1.3,10.232.253.101,59,73,36.1,23.43,Disconnected
Plc019,Omron,Fx5U,V4.9,10.235.220.71,56,72,45.5,22.29,Disconnected
Plc020,Siemens,S7-1500,V3.7,172.31.200.200,68,39,50.1,22.27,Connected
Plc021,Siemens,S7-1500,V4.0,192.168.0.57,27,58,49.2,22.65,Disconnected
Plc022,Siemens,S7-1500,V5.7,10.46.236.89,64,35,36.7,23.0,Disconnected
Plc023,Mitsubishi,S7-1500,V1.6,192.168.197.192,20,59,43.0,23.71,Disconnected
Plc024,Omron,S7-1500,V1.2,172.27.48.6,76,48,60.4,22.33,Disconnected
Plc025,Allen Bradley,Fx5U,V4.7,10.141.213.248,19,82,52.0,23.32,Disconnected
Plc026,Omron,Controllogix,V5.0,10.1.54.188,55,43,44.8,23.94,Disconnected
Plc027,Mitsubishi,Fx5U,V1.0,10.187.7.60,80,15,30.1,22.73,Connected
Plc028,Mitsubishi,Nx1P2,V1.6,10.144.194.211,49,55,41.5,22.11,Connected
Plc029,Allen Bradley,Controllogix,V3.9,10.17.173.213,15,18,59.8,22.23,Connected
Plc030,Siemens,Fx5U,V1.7,192.168.170.100,89,64,47.7,23.8,Disconnected
Plc031,Siemens,Nx1P2,V5.0,10.206.213.16,45,58,47.8,22.64,Connected
Plc032,Omron,S7-1500,V2.5,192.168.229.252,68,74,57.5,23.33,Connected
Plc033,Mitsubishi,Fx5U,V4.3,192.168.16.88,68,19,58.6,23.07,Disconnected
Plc034,Mitsubishi,S7-1500,V3.9,192.168.132.54,56,38,50.0,23.92,Connected
Plc035,Mitsubishi,Fx5U,V1.9,172.23.243.93,72,70,42.1,22.69,Connected
Plc036,Mitsubishi,Fx5U,V4.8,10.160.243.89,45,35,41.6,22.5,Disconnected
