Log_ID,Timestamp,System_ID,Tag_Name,Current_Value,High_Limit,Low_Limit,Alarm_Status
Log0001,2026-04-17 18:15:16,Sys0122,Pressure,9.2,95,10,Normal
Log0002,2026-06-13 05:50:23,Sys0117,Voltage,74.75,95,10,Critical
Log0003,2026-04-28 15:16:24,Sys0291,Temperature,99.09,95,10,Normal
Log0004,2026-06-22 11:58:58,Sys0448,Flow,24.99,95,10,Normal
Log0005,2026-05-06 21:20:55,Sys0040,Temperature,12.67,95,10,Normal
Log0006,2026-07-10 09:09:47,Sys0145,Temperature,31.41,95,10,Critical
Log0007,2026-06-18 12:27:54,Sys0336,Pressure,99.81,95,10,Normal
Log0008,2026-06-08 12:44:26,Sys0311,Voltage,47.87,95,10,Normal
Log0009,2026-05-02 12:47:41,Sys0337,Temperature,7.64,95,10,Critical
Log0010,2026-06-14 07:03:49,Sys0106,Voltage,70.53,95,10,Warning
Log0011,2026-06-28 15:23:25,Sys0460,Pressure,44.35,95,10,Warning
Log0012,2026-07-14 15:07:27,Sys0483,Speed,78.02,95,10,Warning
Log0013,2026-06-30 18:38:36,Sys0445,Flow,24.42,95,10,Warning
Log0014,2026-05-07 11:49:35,Sys0164,Flow,54.14,95,10,Normal
Log0015,2026-07-02 06:24:12,Sys0028,Speed,90.04,95,10,Critical
Log0016,2026-05-26 20:30:41,Sys0487,Current,48.62,95,10,Normal
Log0017,2026-05-03 12:51:11,Sys0105,Pressure,84.14,95,10,Critical
Log0018,2026-04-17 13:08:10,Sys0119,Speed,74.19,95,10,Normal
Log0019,2026-04-15 17:33:45,Sys0063,Speed,72.49,95,10,Normal
Log0020,2026-05-05 08:48:33,Sys0019,Pressure,69.83,95,10,Critical
Log0021,2026-05-14 15:20:39,Sys0392,Voltage,95.3,95,10,Normal
Log0022,2026-06-17 18:51:14,Sys0256,Temperature,27.03,95,10,Critical
Log0023,2026-04-30 14:38:02,Sys0197,Speed,82.72,95,10,Normal
