Sensor_ID,System_ID,Sensor_Type,Location,Reading,Unit,Status,Calibration_Date
Sen0001,Sys0474,Proximity,Houston Plant,0.01,%,Inactive,2026-01-05
Sen0002,Sys0386,Flow,Phoenix Plant,69.59,°C,Active,2025-08-11
Sen0003,Sys0322,Proximity,Dallas Plant,66.73,Psi,Active,2025-09-03
Sen0004,Sys0422,Pressure,Austin Plant,73.75,Psi,Active,2026-06-25
Sen0005,Sys0424,Pressure,Austin Plant,13.26,L/Min,Active,2025-12-08
Sen0006,Sys0339,Flow,Austin Plant,61.86,°C,Active,2025-12-08
Sen0007,Sys0372,Pressure,Houston Plant,62.71,%,Inactive,2025-12-05
Sen0008,Sys0079,Temperature,Austin Plant,47.37,°C,Active,2026-03-07
Sen0009,Sys0192,Temperature,Phoenix Plant,17.51,L/Min,Active,2025-10-24
Sen0010,Sys0044,Pressure,Austin Plant,7.32,L/Min,Active,2026-05-11
Sen0011,Sys0223,Pressure,Austin Plant,26.61,%,Inactive,2025-12-21
Sen0012,Sys0081,Proximity,Phoenix Plant,66.05,Psi,Inactive,2026-04-26
Sen0013,Sys0218,Pressure,Phoenix Plant,83.67,L/Min,Inactive,2025-07-28
Sen0014,Sys0162,Humidity,Phoenix Plant,21.41,°C,Active,2026-06-23
Sen0015,Sys0208,Humidity,Chicago Plant,77.26,L/Min,Active,2025-10-02
Sen0016,Sys0448,Proximity,Dallas Plant,79.66,Psi,Active,2026-03-14
Sen0017,Sys0118,Proximity,Dallas Plant,56.01,L/Min,Active,2025-07-27
Sen0018,Sys0028,Proximity,Austin Plant,53.9,Psi,Active,2025-08-17
Sen0019,Sys0124,Temperature,Phoenix Plant,85.83,°C,Active,2025-12-08
Sen0020,Sys0276,Proximity,Dallas Plant,33.91,°C,Inactive,2026-01-17
Sen0021,Sys0134,Humidity,Phoenix Plant,13.62,Psi,Active,2025-11-05
Sen0022,Sys0219,Flow,Austin Plant,13.97,Psi,Active,2025-09-04
Sen0023,Sys0266,Pressure,Phoenix Plant,44.23,L/Min,Active,2026-05-15
Sen0024,Sys0378,Humidity,Chicago Plant,16.46,%,Inactive,2026-03-22
Sen0025,Sys0016,Temperature,Dallas Plant,78.0,°C,Active,2025-11-02
Sen0026,Sys0043,Humidity,Austin Plant,75.76,°C,Active,2026-03-29
Sen0027,Sys0353,Pressure,Chicago Plant,95.31,°C,Inactive,2026-06-10
Sen0028,Sys0402,Proximity,Houston Plant,5.72,°C,Active,2025-10-21
Sen0029,Sys0181,Humidity,Chicago Plant,67.22,%,Inactive,2025-08-20
Sen0030,Sys0134,Pressure,Dallas Plant,54.58,Psi,Inactive,2026-06-01
Sen0031,Sys0148,Flow,Phoenix Plant,91.03,°C,Active,2026-04-11
Sen0032,Sys0090,Humidity,Phoenix Plant,62.17,°C,Inactive,2025-07-19
Sen0033,Sys0195,Flow,Dallas Plant,50.71,L/Min,Active,2026-04-10
Sen0034,Sys0023,Proximity,Dallas Plant,0.28,%,Active,2025-11-14
Sen0035,Sys0194,Humidity,Houston Plant,8.87,%,Active,2026-03-05
Sen0036,Sys0208,Flow,Phoenix Plant,12.29,L/Min,Active,2026-02-13
Sen0037,Sys0409,Humidity,Phoenix Plant,22.78,%,Inactive,2026-02-15
Sen0038,Sys0339,Temperature,Houston Plant,31.01,Psi,Inactive,2025-11-11
Sen0039,Sys0374,Temperature,Phoenix Plant,71.43,L/Min,Active,2025-08-14
Sen0040,Sys0209,Pressure,Austin Plant,41.02,L/Min,Inactive,2026-01-18
Sen0041,Sys0403,Temperature,Phoenix Plant,77.86,Psi,Active,2026-04-06
Sen0042,Sys0034,Temperature,Houston Plant,80.2,°C,Inactive,2025-11-03
