System_ID,Plant,Production_Line,Status,Efficiency,Cycle_Time,Energy_Consumption,Downtime_Minutes
Sys0001,Dallas Plant,Line A,Idle,92.68,30.3,2284.36,44
Sys0002,Dallas Plant,Line B,Stopped,80.29,27.68,2118.86,3
Sys0003,Houston Plant,Line C,Running,84.12,20.77,1187.91,135
Sys0004,Phoenix Plant,Line A,Maintenance,88.86,31.14,591.65,116
Sys0005,Dallas Plant,Line D,Idle,83.88,16.29,1033.96,36
Sys0006,Austin Plant,Line B,Maintenance,95.23,33.28,958.1,16
Sys0007,Dallas Plant,Line B,Stopped,96.23,29.29,785.74,71
Sys0008,Phoenix Plant,Line C,Maintenance,80.26,39.93,1519.05,46
Sys0009,Austin Plant,Packaging Line,Stopped,87.7,39.13,2221.56,5
Sys0010,Houston Plant,Packaging Line,Idle,85.89,38.61,2251.71,134
Sys0011,Houston Plant,Packaging Line,Idle,87.95,33.36,1560.71,0
Sys0012,Dallas Plant,Line C,Running,77.06,24.58,638.43,272
Sys0013,Chicago Plant,Assembly Line,Idle,97.29,32.66,1879.74,159
Sys0014,Houston Plant,Line D,Idle,76.54,10.63,1607.84,112
Sys0015,Dallas Plant,Line B,Idle,81.68,24.56,1578.47,292
Sys0016,Chicago Plant,Line B,Maintenance,85.17,24.01,1958.15,50
Sys0017,Houston Plant,Line A,Idle,85.13,18.36,999.61,38
Sys0018,Dallas Plant,Packaging Line,Idle,84.75,24.44,2229.3,30
Sys0019,Chicago Plant,Line C,Idle,79.56,16.53,616.97,277
Sys0020,Dallas Plant,Line A,Running,98.06,12.4,871.65,34
Sys0021,Phoenix Plant,Line B,Stopped,90.78,26.96,1132.74,133
Sys0022,Houston Plant,Line B,Stopped,82.59,32.56,645.09,234
Sys0023,Austin Plant,Assembly Line,Idle,83.87,14.73,2167.49,154
Sys0024,Houston Plant,Packaging Line,Running,92.82,14.66,1063.51,107
Sys0025,Houston Plant,Assembly Line,Stopped,94.9,11.32,1167.11,66
Sys0026,Chicago Plant,Assembly Line,Running,76.81,36.49,2307.86,279
Sys0027,Phoenix Plant,Line B,Maintenance,96.58,33.88,2221.41,183
Sys0028,Dallas Plant,Line C,Idle,95.75,39.29,2121.54,211
Sys0029,Houston Plant,Line D,Running,84.18,11.16,1441.38,102
Sys0030,Austin Plant,Line B,Maintenance,95.74,39.01,1058.25,260
Sys0031,Houston Plant,Line A,Running,77.6,23.04,1957.09,160
Sys0032,Dallas Plant,Line D,Stopped,75.04,37.77,1576.9,100
Sys0033,Houston Plant,Assembly Line,Maintenance,91.01,19.79,1894.42,283
Sys0034,Chicago Plant,Packaging Line,Stopped,88.15,10.01,1073.83,220
Sys0035,Chicago Plant,Packaging Line,Running,81.81,29.92,1738.52,47
Sys0036,Austin Plant,Line B,Stopped,89.67,33.05,1410.83,294
Sys0037,Chicago Plant,Line D,Running,93.68,16.57,2108.22,265
Sys0038,Austin Plant,Line A,Stopped,89.7,31.58,1509.56,280
Sys0039,Chicago Plant,Line D,Stopped,90.04,18.24,654.97,146
Sys0040,Houston Plant,Assembly Line,Stopped,91.65,31.19,628.46,208
Sys0041,Chicago Plant,Line A,Stopped,86.45,38.28,1097.23,199
Sys0042,Phoenix Plant,Assembly Line,Stopped,86.66,21.67,1837.75,207
Sys0043,Phoenix Plant,Assembly Line,Running,90.43,14.07,1423.4,25
Sys0044,Austin Plant,Line D,Stopped,81.05,12.46,538.77,276
Sys0045,Dallas Plant,Packaging Line,Running,89.91,17.16,1447.12,58
Sys0046,Houston Plant,Line C,Running,88.89,37.87,1651.59,192
Sys0047,Dallas Plant,Assembly Line,Running,94.11,26.98,582.14,272
Sys0048,Dallas Plant,Assembly Line,Stopped,77.53,38.82,1771.17,235
Sys0049,Phoenix Plant,Packaging Line,Maintenance,82.74,17.36,2369.24,142
Sys0050,Phoenix Plant,Assembly Line,Stopped,95.42,15.46,924.24,132
Sys0051,Houston Plant,Assembly Line,Stopped,86.73,32.74,1881.22,251
Sys0052,Houston Plant,Line B,Stopped,88.28,20.31,2493.26,281
