Robot_ID,Robot_Model,Manufacturer,Axis_Count,Operating_Hours,Cycle_Count,Error_Code,Maintenance_Due,Status
Rob0001,Yaskawa Gp25,Kuka,5,6284,354603,E310,2026-10-02,Maintenance
Rob0002,Kuka Kr10,Kuka,6,8659,367713,E202,2026-11-14,Maintenance
Rob0003,Yaskawa Gp25,Fanuc,4,16477,16833,E202,2026-11-29,Stopped
Rob0004,Yaskawa Gp25,Abb,4,2648,807376,E310,2026-10-16,Maintenance
Rob0005,Fanuc M-20Id,Yaskawa,5,18148,872514,E101,2026-09-25,Idle
Rob0006,Fanuc M-20Id,Abb,4,10566,536154,E202,2026-08-09,Maintenance
Rob0007,Yaskawa Gp25,Fanuc,6,10332,649135,E101,2026-10-29,Idle
Rob0008,Kuka Kr10,Abb,4,13483,833982,E101,2026-11-02,Idle
Rob0009,Abb Irb2600,Kuka,6,16024,695234,E310,2026-09-04,Maintenance
Rob0010,Abb Irb2600,Kuka,5,10448,398802,E101,2026-11-27,Maintenance
Rob0011,Kuka Kr10,Kuka,6,10833,481552,E202,2026-11-13,Stopped
Rob0012,Yaskawa Gp25,Yaskawa,4,13740,67994,E310,2026-10-19,Maintenance
Rob0013,Abb Irb2600,Yaskawa,5,1138,868294,E101,2026-08-21,Idle
Rob0014,Kuka Kr10,Kuka,5,1275,347479,E310,2026-08-25,Stopped
Rob0015,Kuka Kr10,Abb,4,16980,471481,E202,2026-08-13,Running
Rob0016,Fanuc M-20Id,Abb,4,11165,767962,E310,2026-09-05,Stopped
Rob0017,Fanuc M-20Id,Yaskawa,6,16459,271982,E202,2026-07-14,Stopped
Rob0018,Fanuc M-20Id,Fanuc,4,11729,299455,E202,2026-09-03,Stopped
Rob0019,Kuka Kr10,Fanuc,5,4900,796249,Nan,2026-11-18,Maintenance
Rob0020,Yaskawa Gp25,Abb,4,19826,323372,E101,2026-10-23,Running
Rob0021,Yaskawa Gp25,Abb,5,19267,583136,E202,2026-07-24,Maintenance
Rob0022,Fanuc M-20Id,Abb,4,10787,388776,E310,2026-09-17,Idle
Rob0023,Abb Irb2600,Kuka,5,7960,493187,E202,2026-12-04,Maintenance
Rob0024,Abb Irb2600,Kuka,5,1258,157083,Nan,2026-12-21,Stopped
Rob0025,Yaskawa Gp25,Yaskawa,5,2073,882073,Nan,2026-07-27,Maintenance
Rob0026,Fanuc M-20Id,Yaskawa,4,17022,847055,E202,2026-12-07,Stopped
Rob0027,Kuka Kr10,Kuka,6,2699,780109,Nan,2026-11-13,Running
Rob0028,Fanuc M-20Id,Abb,6,3374,611804,E310,2026-11-02,Idle
Rob0029,Fanuc M-20Id,Yaskawa,5,15760,483210,E101,2026-12-09,Maintenance
Rob0030,Fanuc M-20Id,Abb,6,19348,366316,E310,2026-11-22,Stopped
Rob0031,Fanuc M-20Id,Yaskawa,6,10127,16662,E310,2026-10-29,Running
Rob0032,Fanuc M-20Id,Abb,5,14496,167805,E202,2026-08-03,Idle
Rob0033,Kuka Kr10,Yaskawa,6,7064,817327,E202,2026-10-04,Idle
Rob0034,Abb Irb2600,Abb,4,10608,200407,Nan,2026-11-18,Running
Rob0035,Fanuc M-20Id,Abb,6,11920,82631,E202,2026-10-07,Maintenance
Rob0036,Abb Irb2600,Abb,4,10426,181220,E310,2026-09-29,Maintenance
Rob0037,Abb Irb2600,Abb,5,1394,153982,E310,2026-08-03,Running
Rob0038,Yaskawa Gp25,Fanuc,5,7334,408895,Nan,2026-10-23,Stopped
Rob0039,Yaskawa Gp25,Yaskawa,4,7238,818435,E310,2026-12-10,Running
Rob0040,Fanuc M-20Id,Abb,6,19449,769712,Nan,2026-11-23,Idle
Rob0041,Abb Irb2600,Fanuc,5,12243,796099,E202,2026-11-24,Stopped
Rob0042,Abb Irb2600,Abb,4,17110,387338,E310,2026-12-31,Maintenance
Rob0043,Fanuc M-20Id,Yaskawa,4,737,408489,E310,2026-12-24,Stopped
Rob0044,Fanuc M-20Id,Kuka,5,10657,887170,Nan,2026-10-13,Stopped
Rob0045,Kuka Kr10,Abb,6,3267,692028,E310,2026-10-03,Stopped
Rob0046,Fanuc M-20Id,Kuka,6,11092,57573,E101,2026-08-30,Idle
Rob0047,Abb Irb2600,Fanuc,4,17494,173324,E101,2026-12-17,Stopped
Rob0048,Fanuc M-20Id,Fanuc,6,7375,785788,E202,2026-09-15,Maintenance
Rob0049,Yaskawa Gp25,Abb,5,6149,193120,E101,2026-11-18,Idle
Rob0050,Kuka Kr10,Fanuc,4,1482,531724,E101,2026-09-10,Maintenance
Rob0051,Yaskawa Gp25,Kuka,5,11020,39861,Nan,2026-11-04,Maintenance
Rob0052,Fanuc M-20Id,Yaskawa,4,5229,437456,Nan,2026-10-27,Stopped
Rob0053,Abb Irb2600,Abb,4,989,375603,E101,2026-12-02,Running
Rob0054,Yaskawa Gp25,Fanuc,4,16087,496993,E310,2026-11-13,Stopped
Rob0055,Abb Irb2600,Fanuc,5,16105,502292,E202,2026-11-05,Idle
Rob0056,Kuka Kr10,Kuka,6,3658,510998,E310,2026-10-07,Idle
Rob0057,Abb Irb2600,Abb,6,4753,854572,E101,2026-11-26,Idle
Rob0058,Fanuc M-20Id,Fanuc,6,13732,306012,Nan,2026-09-30,Idle
Rob0059,Abb Irb2600,Kuka,4,10366,354589,E310,2026-10-25,Maintenance
Rob0060,Abb Irb2600,Kuka,5,12780,703320,E101,2026-10-08,Running
Rob0061,Yaskawa Gp25,Fanuc,4,6469,25017,E101,2026-09-17,Running
Rob0062,Abb Irb2600,Abb,5,11068,22281,E310,2026-09-16,Stopped
Rob0063,Kuka Kr10,Abb,6,19413,435362,E310,2026-07-23,Idle
Rob0064,Yaskawa Gp25,Kuka,6,14913,133542,E202,2026-12-22,Maintenance
Rob0065,Kuka Kr10,Abb,5,11673,856188,E310,2026-11-08,Stopped
Rob0066,Fanuc M-20Id,Kuka,6,9113,76183,E202,2026-12-22,Stopped
Rob0067,Fanuc M-20Id,Abb,4,7942,489653,Nan,2026-11-21,Running
Rob0068,Kuka Kr10,Abb,5,10560,484548,E310,2026-11-09,Running
Rob0069,Abb Irb2600,Yaskawa,6,6885,158592,E101,2026-09-10,Running
Rob0070,Abb Irb2600,Kuka,6,5473,600225,Nan,2026-12-20,Maintenance
Rob0071,Abb Irb2600,Abb,5,5701,115002,E101,2026-09-12,Idle
Rob0072,Abb Irb2600,Yaskawa,4,9623,61288,E310,2026-12-27,Maintenance
Rob0073,Yaskawa Gp25,Yaskawa,5,15835,347558,E101,2026-08-10,Maintenance
Rob0074,Fanuc M-20Id,Fanuc,5,18711,710574,E202,2026-10-20,Idle
Rob0075,Fanuc M-20Id,Fanuc,5,5097,160776,E310,2027-01-05,Idle
Rob0076,Abb Irb2600,Yaskawa,4,14230,419992,E101,2026-12-24,Idle
Rob0077,Kuka Kr10,Fanuc,4,9551,157262,E310,2026-10-05,Running
Rob0078,Abb Irb2600,Abb,5,5166,714892,E202,2026-12-24,Maintenance
Rob0079,Fanuc M-20Id,Fanuc,6,10696,559706,Nan,2027-01-02,Stopped
Rob0080,Abb Irb2600,Yaskawa,5,4591,577551,E310,2026-08-15,Idle
Rob0081,Fanuc M-20Id,Kuka,5,1842,410033,E202,2026-09-04,Running
Rob0082,Yaskawa Gp25,Yaskawa,6,6019,754238,E310,2026-07-31,Maintenance
Rob0083,Abb Irb2600,Fanuc,4,12380,263013,E310,2026-10-24,Stopped
Rob0084,Yaskawa Gp25,Fanuc,6,3946,817346,E202,2026-09-19,Maintenance
Rob0085,Kuka Kr10,Kuka,5,8732,383986,Nan,2026-08-05,Running
Rob0086,Fanuc M-20Id,Yaskawa,4,19694,529020,E101,2026-08-09,Stopped
Rob0087,Kuka Kr10,Fanuc,6,16486,597905,E310,2026-07-18,Stopped
Rob0088,Fanuc M-20Id,Fanuc,6,3730,613587,Nan,2026-10-16,Running
Rob0089,Abb Irb2600,Kuka,6,14322,864886,E310,2026-11-03,Running
Rob0090,Kuka Kr10,Yaskawa,5,19287,558159,Nan,2026-10-05,Stopped
Rob0091,Yaskawa Gp25,Fanuc,4,19077,199517,Nan,2026-11-24,Maintenance
Rob0092,Fanuc M-20Id,Kuka,5,1429,774472,E310,2027-01-09,Maintenance
Rob0093,Kuka Kr10,Kuka,5,8649,300070,E310,2026-11-12,Running
Rob0094,Kuka Kr10,Yaskawa,6,9123,815947,E101,2026-11-25,Idle
Rob0095,Kuka Kr10,Yaskawa,5,6137,895752,E310,2026-11-11,Running
Rob0096,Kuka Kr10,Kuka,6,18136,785798,E101,2026-09-04,Maintenance
Rob0097,Kuka Kr10,Fanuc,6,3463,680513,E310,2026-08-26,Maintenance
Rob0098,Yaskawa Gp25,Abb,5,7124,287537,E310,2026-09-08,Maintenance
Rob0099,Kuka Kr10,Yaskawa,5,5717,186730,E202,2026-12-12,Running
Rob0100,Fanuc M-20Id,Abb,6,10675,540704,E202,2026-10-31,Idle
Rob0101,Yaskawa Gp25,Fanuc,4,3559,104940,E310,2027-01-07,Maintenance
Rob0102,Abb Irb2600,Kuka,6,12093,426029,E101,2026-10-25,Stopped
Rob0103,Fanuc M-20Id,Kuka,6,19181,96205,E202,2026-08-26,Idle
Rob0104,Yaskawa Gp25,Fanuc,4,18456,172541,E202,2026-07-25,Running
Rob0105,Yaskawa Gp25,Abb,6,7675,267269,E101,2026-09-21,Stopped
Rob0106,Abb Irb2600,Abb,4,10225,265517,Nan,2026-09-13,Stopped
Rob0107,Yaskawa Gp25,Yaskawa,6,18562,605681,E101,2026-09-25,Stopped
Rob0108,Abb Irb2600,Yaskawa,6,19356,415907,E202,2026-11-30,Maintenance
Rob0109,Kuka Kr10,Yaskawa,5,12444,256106,E202,2026-07-19,Maintenance
Rob0110,Fanuc M-20Id,Abb,5,8590,844202,E101,2026-08-30,Running
Rob0111,Yaskawa Gp25,Kuka,4,7965,765086,E202,2026-09-14,Idle
Rob0112,Yaskawa Gp25,Kuka,6,2243,492595,E310,2026-11-27,Stopped
Rob0113,Yaskawa Gp25,Fanuc,4,1224,597159,E310,2027-01-05,Running
Rob0114,Kuka Kr10,Yaskawa,6,5345,76874,E202,2026-09-11,Running
Rob0115,Kuka Kr10,Kuka,6,1403,758276,E310,2026-09-20,Stopped
Rob0116,Abb Irb2600,Yaskawa,4,15314,334875,E202,2026-12-20,Maintenance
Rob0117,Abb Irb2600,Yaskawa,4,18182,724417,E202,2026-10-31,Running
