PLC_ID,Manufacturer,Model,Firmware,IP_Address,CPU_Usage,Memory_Usage,Temperature,Voltage,Communication_Status
PLC001,Mitsubishi,S7-1500,V5.9,10.176.0.43,50,28,25.5,23.04,Disconnected
PLC002,Omron,NX1P2,V3.2,10.143.94.115,18,37,31.2,22.44,Connected
PLC003,Siemens,NX1P2,V4.1,172.26.236.189,19,26,61.9,22.96,Disconnected
PLC004,Mitsubishi,ControlLogix,V4.9,172.22.0.231,71,53,31.9,22.61,Connected
PLC005,Allen Bradley,ControlLogix,V2.3,172.28.51.240,44,26,33.4,23.96,Disconnected
PLC006,Siemens,S7-1500,V1.7,192.168.106.60,60,15,32.9,22.07,Connected
PLC007,Omron,S7-1500,V3.0,192.168.87.230,13,48,51.7,23.51,Connected
PLC008,Allen Bradley,ControlLogix,V2.5,172.28.11.70,8,21,30.8,23.49,Disconnected
PLC009,Mitsubishi,FX5U,V2.8,172.24.79.124,83,40,45.2,22.14,Connected
PLC010,Allen Bradley,ControlLogix,V3.2,10.153.52.2,73,10,63.9,22.2,Connected
PLC011,Omron,FX5U,V5.2,10.7.152.11,61,23,32.2,22.71,Disconnected
PLC012,Omron,ControlLogix,V5.3,172.21.213.86,57,24,55.5,22.63,Disconnected
PLC013,Siemens,ControlLogix,V4.5,10.104.85.229,95,46,47.3,22.08,Disconnected
PLC014,Omron,S7-1500,V4.4,192.168.140.51,63,86,54.4,23.37,Disconnected
PLC015,Allen Bradley,NX1P2,V3.6,192.168.14.82,29,18,60.8,23.6,Disconnected
PLC016,Allen Bradley,S7-1500,V4.1,172.27.165.107,55,66,45.9,23.35,Connected
PLC017,Allen Bradley,NX1P2,V4.9,172.23.137.179,18,31,27.6,23.95,Disconnected
PLC018,Allen Bradley,NX1P2,V1.3,10.232.253.101,59,73,36.1,23.43,Disconnected
PLC019,Omron,FX5U,V4.9,10.235.220.71,56,72,45.5,22.29,Disconnected
PLC020,Siemens,S7-1500,V3.7,172.31.200.200,68,39,50.1,22.27,Connected
PLC021,Siemens,S7-1500,V4.0,192.168.0.57,27,58,49.2,22.65,Disconnected
PLC022,Siemens,S7-1500,V5.7,10.46.236.89,64,35,36.7,23.0,Disconnected
PLC023,Mitsubishi,S7-1500,V1.6,192.168.197.192,20,59,43.0,23.71,Disconnected
PLC024,Omron,S7-1500,V1.2,172.27.48.6,76,48,60.4,22.33,Disconnected
PLC025,Allen Bradley,FX5U,V4.7,10.141.213.248,19,82,52.0,23.32,Disconnected
PLC026,Omron,ControlLogix,V5.0,10.1.54.188,55,43,44.8,23.94,Disconnected
PLC027,Mitsubishi,FX5U,V1.0,10.187.7.60,80,15,30.1,22.73,Connected
PLC028,Mitsubishi,NX1P2,V1.6,10.144.194.211,49,55,41.5,22.11,Connected
PLC029,Allen Bradley,ControlLogix,V3.9,10.17.173.213,15,18,59.8,22.23,Connected
PLC030,Siemens,FX5U,V1.7,192.168.170.100,89,64,47.7,23.8,Disconnected
PLC031,Siemens,NX1P2,V5.0,10.206.213.16,45,58,47.8,22.64,Connected
PLC032,Omron,S7-1500,V2.5,192.168.229.252,68,74,57.5,23.33,Connected
PLC033,Mitsubishi,FX5U,V4.3,192.168.16.88,68,19,58.6,23.07,Disconnected
PLC034,Mitsubishi,S7-1500,V3.9,192.168.132.54,56,38,50.0,23.92,Connected
PLC035,Mitsubishi,FX5U,V1.9,172.23.243.93,72,70,42.1,22.69,Connected
PLC036,Mitsubishi,FX5U,V4.8,10.160.243.89,45,35,41.6,22.5,Disconnected
