Robot_ID,Robot_Model,Manufacturer,Axis_Count,Operating_Hours,Cycle_Count,Error_Code,Maintenance_Due,Status
ROB0001,Yaskawa GP25,KUKA,5,6284,354603,E310,2026-10-02,Maintenance
ROB0002,KUKA KR10,KUKA,6,8659,367713,E202,2026-11-14,Maintenance
ROB0003,Yaskawa GP25,FANUC,4,16477,16833,E202,2026-11-29,Stopped
ROB0004,Yaskawa GP25,ABB,4,2648,807376,E310,2026-10-16,Maintenance
ROB0005,FANUC M-20iD,Yaskawa,5,18148,872514,E101,2026-09-25,Idle
ROB0006,FANUC M-20iD,ABB,4,10566,536154,E202,2026-08-09,Maintenance
ROB0007,Yaskawa GP25,FANUC,6,10332,649135,E101,2026-10-29,Idle
ROB0008,KUKA KR10,ABB,4,13483,833982,E101,2026-11-02,Idle
ROB0009,ABB IRB2600,KUKA,6,16024,695234,E310,2026-09-04,Maintenance
ROB0010,ABB IRB2600,KUKA,5,10448,398802,E101,2026-11-27,Maintenance
ROB0011,KUKA KR10,KUKA,6,10833,481552,E202,2026-11-13,Stopped
ROB0012,Yaskawa GP25,Yaskawa,4,13740,67994,E310,2026-10-19,Maintenance
ROB0013,ABB IRB2600,Yaskawa,5,1138,868294,E101,2026-08-21,Idle
ROB0014,KUKA KR10,KUKA,5,1275,347479,E310,2026-08-25,Stopped
ROB0015,KUKA KR10,ABB,4,16980,471481,E202,2026-08-13,Running
ROB0016,FANUC M-20iD,ABB,4,11165,767962,E310,2026-09-05,Stopped
ROB0017,FANUC M-20iD,Yaskawa,6,16459,271982,E202,2026-07-14,Stopped
ROB0018,FANUC M-20iD,FANUC,4,11729,299455,E202,2026-09-03,Stopped
ROB0019,KUKA KR10,FANUC,5,4900,796249,None,2026-11-18,Maintenance
ROB0020,Yaskawa GP25,ABB,4,19826,323372,E101,2026-10-23,Running
ROB0021,Yaskawa GP25,ABB,5,19267,583136,E202,2026-07-24,Maintenance
ROB0022,FANUC M-20iD,ABB,4,10787,388776,E310,2026-09-17,Idle
ROB0023,ABB IRB2600,KUKA,5,7960,493187,E202,2026-12-04,Maintenance
ROB0024,ABB IRB2600,KUKA,5,1258,157083,None,2026-12-21,Stopped
ROB0025,Yaskawa GP25,Yaskawa,5,2073,882073,None,2026-07-27,Maintenance
ROB0026,FANUC M-20iD,Yaskawa,4,17022,847055,E202,2026-12-07,Stopped
ROB0027,KUKA KR10,KUKA,6,2699,780109,None,2026-11-13,Running
ROB0028,FANUC M-20iD,ABB,6,3374,611804,E310,2026-11-02,Idle
ROB0029,FANUC M-20iD,Yaskawa,5,15760,483210,E101,2026-12-09,Maintenance
ROB0030,FANUC M-20iD,ABB,6,19348,366316,E310,2026-11-22,Stopped
ROB0031,FANUC M-20iD,Yaskawa,6,10127,16662,E310,2026-10-29,Running
ROB0032,FANUC M-20iD,ABB,5,14496,167805,E202,2026-08-03,Idle
ROB0033,KUKA KR10,Yaskawa,6,7064,817327,E202,2026-10-04,Idle
ROB0034,ABB IRB2600,ABB,4,10608,200407,None,2026-11-18,Running
ROB0035,FANUC M-20iD,ABB,6,11920,82631,E202,2026-10-07,Maintenance
ROB0036,ABB IRB2600,ABB,4,10426,181220,E310,2026-09-29,Maintenance
ROB0037,ABB IRB2600,ABB,5,1394,153982,E310,2026-08-03,Running
ROB0038,Yaskawa GP25,FANUC,5,7334,408895,None,2026-10-23,Stopped
ROB0039,Yaskawa GP25,Yaskawa,4,7238,818435,E310,2026-12-10,Running
ROB0040,FANUC M-20iD,ABB,6,19449,769712,None,2026-11-23,Idle
ROB0041,ABB IRB2600,FANUC,5,12243,796099,E202,2026-11-24,Stopped
ROB0042,ABB IRB2600,ABB,4,17110,387338,E310,2026-12-31,Maintenance
ROB0043,FANUC M-20iD,Yaskawa,4,737,408489,E310,2026-12-24,Stopped
ROB0044,FANUC M-20iD,KUKA,5,10657,887170,None,2026-10-13,Stopped
ROB0045,KUKA KR10,ABB,6,3267,692028,E310,2026-10-03,Stopped
ROB0046,FANUC M-20iD,KUKA,6,11092,57573,E101,2026-08-30,Idle
ROB0047,ABB IRB2600,FANUC,4,17494,173324,E101,2026-12-17,Stopped
ROB0048,FANUC M-20iD,FANUC,6,7375,785788,E202,2026-09-15,Maintenance
ROB0049,Yaskawa GP25,ABB,5,6149,193120,E101,2026-11-18,Idle
ROB0050,KUKA KR10,FANUC,4,1482,531724,E101,2026-09-10,Maintenance
ROB0051,Yaskawa GP25,KUKA,5,11020,39861,None,2026-11-04,Maintenance
ROB0052,FANUC M-20iD,Yaskawa,4,5229,437456,None,2026-10-27,Stopped
ROB0053,ABB IRB2600,ABB,4,989,375603,E101,2026-12-02,Running
ROB0054,Yaskawa GP25,FANUC,4,16087,496993,E310,2026-11-13,Stopped
ROB0055,ABB IRB2600,FANUC,5,16105,502292,E202,2026-11-05,Idle
ROB0056,KUKA KR10,KUKA,6,3658,510998,E310,2026-10-07,Idle
ROB0057,ABB IRB2600,ABB,6,4753,854572,E101,2026-11-26,Idle
ROB0058,FANUC M-20iD,FANUC,6,13732,306012,None,2026-09-30,Idle
ROB0059,ABB IRB2600,KUKA,4,10366,354589,E310,2026-10-25,Maintenance
ROB0060,ABB IRB2600,KUKA,5,12780,703320,E101,2026-10-08,Running
ROB0061,Yaskawa GP25,FANUC,4,6469,25017,E101,2026-09-17,Running
ROB0062,ABB IRB2600,ABB,5,11068,22281,E310,2026-09-16,Stopped
ROB0063,KUKA KR10,ABB,6,19413,435362,E310,2026-07-23,Idle
ROB0064,Yaskawa GP25,KUKA,6,14913,133542,E202,2026-12-22,Maintenance
ROB0065,KUKA KR10,ABB,5,11673,856188,E310,2026-11-08,Stopped
ROB0066,FANUC M-20iD,KUKA,6,9113,76183,E202,2026-12-22,Stopped
ROB0067,FANUC M-20iD,ABB,4,7942,489653,None,2026-11-21,Running
ROB0068,KUKA KR10,ABB,5,10560,484548,E310,2026-11-09,Running
ROB0069,ABB IRB2600,Yaskawa,6,6885,158592,E101,2026-09-10,Running
ROB0070,ABB IRB2600,KUKA,6,5473,600225,None,2026-12-20,Maintenance
ROB0071,ABB IRB2600,ABB,5,5701,115002,E101,2026-09-12,Idle
ROB0072,ABB IRB2600,Yaskawa,4,9623,61288,E310,2026-12-27,Maintenance
ROB0073,Yaskawa GP25,Yaskawa,5,15835,347558,E101,2026-08-10,Maintenance
ROB0074,FANUC M-20iD,FANUC,5,18711,710574,E202,2026-10-20,Idle
ROB0075,FANUC M-20iD,FANUC,5,5097,160776,E310,2027-01-05,Idle
ROB0076,ABB IRB2600,Yaskawa,4,14230,419992,E101,2026-12-24,Idle
ROB0077,KUKA KR10,FANUC,4,9551,157262,E310,2026-10-05,Running
ROB0078,ABB IRB2600,ABB,5,5166,714892,E202,2026-12-24,Maintenance
ROB0079,FANUC M-20iD,FANUC,6,10696,559706,None,2027-01-02,Stopped
ROB0080,ABB IRB2600,Yaskawa,5,4591,577551,E310,2026-08-15,Idle
ROB0081,FANUC M-20iD,KUKA,5,1842,410033,E202,2026-09-04,Running
ROB0082,Yaskawa GP25,Yaskawa,6,6019,754238,E310,2026-07-31,Maintenance
ROB0083,ABB IRB2600,FANUC,4,12380,263013,E310,2026-10-24,Stopped
ROB0084,Yaskawa GP25,FANUC,6,3946,817346,E202,2026-09-19,Maintenance
ROB0085,KUKA KR10,KUKA,5,8732,383986,None,2026-08-05,Running
ROB0086,FANUC M-20iD,Yaskawa,4,19694,529020,E101,2026-08-09,Stopped
ROB0087,KUKA KR10,FANUC,6,16486,597905,E310,2026-07-18,Stopped
ROB0088,FANUC M-20iD,FANUC,6,3730,613587,None,2026-10-16,Running
ROB0089,ABB IRB2600,KUKA,6,14322,864886,E310,2026-11-03,Running
ROB0090,KUKA KR10,Yaskawa,5,19287,558159,None,2026-10-05,Stopped
ROB0091,Yaskawa GP25,FANUC,4,19077,199517,None,2026-11-24,Maintenance
ROB0092,FANUC M-20iD,KUKA,5,1429,774472,E310,2027-01-09,Maintenance
ROB0093,KUKA KR10,KUKA,5,8649,300070,E310,2026-11-12,Running
ROB0094,KUKA KR10,Yaskawa,6,9123,815947,E101,2026-11-25,Idle
ROB0095,KUKA KR10,Yaskawa,5,6137,895752,E310,2026-11-11,Running
ROB0096,KUKA KR10,KUKA,6,18136,785798,E101,2026-09-04,Maintenance
ROB0097,KUKA KR10,FANUC,6,3463,680513,E310,2026-08-26,Maintenance
ROB0098,Yaskawa GP25,ABB,5,7124,287537,E310,2026-09-08,Maintenance
ROB0099,KUKA KR10,Yaskawa,5,5717,186730,E202,2026-12-12,Running
ROB0100,FANUC M-20iD,ABB,6,10675,540704,E202,2026-10-31,Idle
ROB0101,Yaskawa GP25,FANUC,4,3559,104940,E310,2027-01-07,Maintenance
ROB0102,ABB IRB2600,KUKA,6,12093,426029,E101,2026-10-25,Stopped
ROB0103,FANUC M-20iD,KUKA,6,19181,96205,E202,2026-08-26,Idle
ROB0104,Yaskawa GP25,FANUC,4,18456,172541,E202,2026-07-25,Running
ROB0105,Yaskawa GP25,ABB,6,7675,267269,E101,2026-09-21,Stopped
ROB0106,ABB IRB2600,ABB,4,10225,265517,None,2026-09-13,Stopped
ROB0107,Yaskawa GP25,Yaskawa,6,18562,605681,E101,2026-09-25,Stopped
ROB0108,ABB IRB2600,Yaskawa,6,19356,415907,E202,2026-11-30,Maintenance
ROB0109,KUKA KR10,Yaskawa,5,12444,256106,E202,2026-07-19,Maintenance
ROB0110,FANUC M-20iD,ABB,5,8590,844202,E101,2026-08-30,Running
ROB0111,Yaskawa GP25,KUKA,4,7965,765086,E202,2026-09-14,Idle
ROB0112,Yaskawa GP25,KUKA,6,2243,492595,E310,2026-11-27,Stopped
ROB0113,Yaskawa GP25,FANUC,4,1224,597159,E310,2027-01-05,Running
ROB0114,KUKA KR10,Yaskawa,6,5345,76874,E202,2026-09-11,Running
ROB0115,KUKA KR10,KUKA,6,1403,758276,E310,2026-09-20,Stopped
ROB0116,ABB IRB2600,Yaskawa,4,15314,334875,E202,2026-12-20,Maintenance
ROB0117,ABB IRB2600,Yaskawa,4,18182,724417,E202,2026-10-31,Running
ROB0118,FANUC M-20iD,KUKA,6,4421,822248,None,2026-11-14,Running
ROB0119,Yaskawa GP25,ABB,6,6877,270885,E101,2026-08-21,Idle
ROB0120,FANUC M-20iD,Yaskawa,6,4415,357907,None,2026-10-19,Running
