Log_ID,Timestamp,System_ID,Tag_Name,Current_Value,High_Limit,Low_Limit,Alarm_Status
LOG0001,2026-04-17 18:15:16,SYS0122,Pressure,9.2,95,10,Normal
LOG0002,2026-06-13 05:50:23,SYS0117,Voltage,74.75,95,10,Critical
LOG0003,2026-04-28 15:16:24,SYS0291,Temperature,99.09,95,10,Normal
LOG0004,2026-06-22 11:58:58,SYS0448,Flow,24.99,95,10,Normal
LOG0005,2026-05-06 21:20:55,SYS0040,Temperature,12.67,95,10,Normal
LOG0006,2026-07-10 09:09:47,SYS0145,Temperature,31.41,95,10,Critical
LOG0007,2026-06-18 12:27:54,SYS0336,Pressure,99.81,95,10,Normal
LOG0008,2026-06-08 12:44:26,SYS0311,Voltage,47.87,95,10,Normal
LOG0009,2026-05-02 12:47:41,SYS0337,Temperature,7.64,95,10,Critical
LOG0010,2026-06-14 07:03:49,SYS0106,Voltage,70.53,95,10,Warning
LOG0011,2026-06-28 15:23:25,SYS0460,Pressure,44.35,95,10,Warning
LOG0012,2026-07-14 15:07:27,SYS0483,Speed,78.02,95,10,Warning
LOG0013,2026-06-30 18:38:36,SYS0445,Flow,24.42,95,10,Warning
LOG0014,2026-05-07 11:49:35,SYS0164,Flow,54.14,95,10,Normal
LOG0015,2026-07-02 06:24:12,SYS0028,Speed,90.04,95,10,Critical
LOG0016,2026-05-26 20:30:41,SYS0487,Current,48.62,95,10,Normal
LOG0017,2026-05-03 12:51:11,SYS0105,Pressure,84.14,95,10,Critical
LOG0018,2026-04-17 13:08:10,SYS0119,Speed,74.19,95,10,Normal
LOG0019,2026-04-15 17:33:45,SYS0063,Speed,72.49,95,10,Normal
LOG0020,2026-05-05 08:48:33,SYS0019,Pressure,69.83,95,10,Critical
LOG0021,2026-05-14 15:20:39,SYS0392,Voltage,95.3,95,10,Normal
LOG0022,2026-06-17 18:51:14,SYS0256,Temperature,27.03,95,10,Critical
LOG0023,2026-04-30 14:38:02,SYS0197,Speed,82.72,95,10,Normal
