Sensor_ID,System_ID,Sensor_Type,Location,Reading,Unit,Status,Calibration_Date
SEN0001,SYS0474,Proximity,Houston Plant,0.01,%,Inactive,2026-01-05
SEN0002,SYS0386,Flow,Phoenix Plant,69.59,°C,Active,2025-08-11
SEN0003,SYS0322,Proximity,Dallas Plant,66.73,PSI,Active,2025-09-03
SEN0004,SYS0422,Pressure,Austin Plant,73.75,PSI,Active,2026-06-25
SEN0005,SYS0424,Pressure,Austin Plant,13.26,L/min,Active,2025-12-08
SEN0006,SYS0339,Flow,Austin Plant,61.86,°C,Active,2025-12-08
SEN0007,SYS0372,Pressure,Houston Plant,62.71,%,Inactive,2025-12-05
SEN0008,SYS0079,Temperature,Austin Plant,47.37,°C,Active,2026-03-07
SEN0009,SYS0192,Temperature,Phoenix Plant,17.51,L/min,Active,2025-10-24
SEN0010,SYS0044,Pressure,Austin Plant,7.32,L/min,Active,2026-05-11
SEN0011,SYS0223,Pressure,Austin Plant,26.61,%,Inactive,2025-12-21
SEN0012,SYS0081,Proximity,Phoenix Plant,66.05,PSI,Inactive,2026-04-26
SEN0013,SYS0218,Pressure,Phoenix Plant,83.67,L/min,Inactive,2025-07-28
SEN0014,SYS0162,Humidity,Phoenix Plant,21.41,°C,Active,2026-06-23
SEN0015,SYS0208,Humidity,Chicago Plant,77.26,L/min,Active,2025-10-02
SEN0016,SYS0448,Proximity,Dallas Plant,79.66,PSI,Active,2026-03-14
SEN0017,SYS0118,Proximity,Dallas Plant,56.01,L/min,Active,2025-07-27
SEN0018,SYS0028,Proximity,Austin Plant,53.9,PSI,Active,2025-08-17
SEN0019,SYS0124,Temperature,Phoenix Plant,85.83,°C,Active,2025-12-08
SEN0020,SYS0276,Proximity,Dallas Plant,33.91,°C,Inactive,2026-01-17
SEN0021,SYS0134,Humidity,Phoenix Plant,13.62,PSI,Active,2025-11-05
SEN0022,SYS0219,Flow,Austin Plant,13.97,PSI,Active,2025-09-04
SEN0023,SYS0266,Pressure,Phoenix Plant,44.23,L/min,Active,2026-05-15
SEN0024,SYS0378,Humidity,Chicago Plant,16.46,%,Inactive,2026-03-22
SEN0025,SYS0016,Temperature,Dallas Plant,78.0,°C,Active,2025-11-02
SEN0026,SYS0043,Humidity,Austin Plant,75.76,°C,Active,2026-03-29
SEN0027,SYS0353,Pressure,Chicago Plant,95.31,°C,Inactive,2026-06-10
SEN0028,SYS0402,Proximity,Houston Plant,5.72,°C,Active,2025-10-21
SEN0029,SYS0181,Humidity,Chicago Plant,67.22,%,Inactive,2025-08-20
SEN0030,SYS0134,Pressure,Dallas Plant,54.58,PSI,Inactive,2026-06-01
SEN0031,SYS0148,Flow,Phoenix Plant,91.03,°C,Active,2026-04-11
SEN0032,SYS0090,Humidity,Phoenix Plant,62.17,°C,Inactive,2025-07-19
SEN0033,SYS0195,Flow,Dallas Plant,50.71,L/min,Active,2026-04-10
SEN0034,SYS0023,Proximity,Dallas Plant,0.28,%,Active,2025-11-14
SEN0035,SYS0194,Humidity,Houston Plant,8.87,%,Active,2026-03-05
SEN0036,SYS0208,Flow,Phoenix Plant,12.29,L/min,Active,2026-02-13
SEN0037,SYS0409,Humidity,Phoenix Plant,22.78,%,Inactive,2026-02-15
SEN0038,SYS0339,Temperature,Houston Plant,31.01,PSI,Inactive,2025-11-11
SEN0039,SYS0374,Temperature,Phoenix Plant,71.43,L/min,Active,2025-08-14
SEN0040,SYS0209,Pressure,Austin Plant,41.02,L/min,Inactive,2026-01-18
SEN0041,SYS0403,Temperature,Phoenix Plant,77.86,PSI,Active,2026-04-06
SEN0042,SYS0034,Temperature,Houston Plant,80.2,°C,Inactive,2025-11-03
SEN0043,SYS0130,Proximity,Dallas Plant,89.02,°C,Inactive,2026-02-08
