PO_Number,Supplier,PO_Date,Item,Ordered_Qty,Received_Qty,PO_Amount,Buyer,PO_Status
PO0001,ABC Metals,2026-01-20,Storage Rack,244,171,28060,James,Partial
PO0002,Vertex Industries,2026-03-14,Computer Desk,329,155,24346,Daniel,Partial
PO0003,Global Steel,2025-07-08,Storage Rack,365,252,17885,Alice,Open
PO0004,Future Materials,2026-05-27,Office Chair,134,16,8174,James,Partial
PO0005,Future Materials,2026-04-02,Office Chair,495,438,22770,Linda,Open
PO0006,ABC Metals,2026-02-26,Workbench,290,245,22620,James,Closed
PO0007,Prime Industries,2026-01-09,Locker,469,389,27202,Alice,Closed
PO0008,Global Steel,2026-05-10,Wooden Table,201,96,13869,James,Partial
PO0009,Prime Industries,2026-02-11,Locker,151,78,3322,Robert,Open
PO0010,ABC Metals,2025-12-22,Metal Shelf,486,108,32562,James,Partial
PO0011,Rapid Components,2026-02-21,Filing Cabinet,368,121,12880,Robert,Open
PO0012,Titan Supply,2026-04-08,Filing Cabinet,471,352,35325,Robert,Open
PO0013,United Supplies,2026-03-13,Locker,65,45,5525,James,Open
PO0014,United Supplies,2026-06-21,Locker,331,58,6951,Daniel,Partial
PO0015,Rapid Components,2025-12-13,Storage Rack,295,271,30680,Robert,Closed
PO0016,Prime Industries,2026-02-25,Locker,97,35,8924,Linda,Closed
PO0017,Prime Industries,2026-03-01,Workbench,444,387,19092,Daniel,Open
PO0018,Future Materials,2025-12-23,Wooden Table,438,353,41610,Daniel,Closed
PO0019,Industrial Parts,2025-11-27,Tool Box,297,175,34155,James,Partial
PO0020,Vertex Industries,2025-08-12,Workbench,352,35,22528,Daniel,Open
PO0021,United Supplies,2026-01-24,Computer Desk,454,10,20430,Linda,Partial
PO0022,ABC Metals,2026-06-02,Steel Cabinet,312,236,18408,James,Open
PO0023,Blue Manufacturing,2025-12-26,Steel Cabinet,226,163,5424,Daniel,Open
PO0024,Blue Manufacturing,2026-05-26,Wooden Table,100,95,9300,Robert,Partial
PO0025,Prime Industries,2026-01-27,Office Chair,371,65,34503,James,Closed
PO0026,Rapid Components,2026-04-30,Wooden Table,191,74,17190,Linda,Open
PO0027,Titan Supply,2025-08-08,Filing Cabinet,444,405,20868,Daniel,Partial
PO0028,Blue Manufacturing,2026-06-04,Workbench,422,313,46420,Daniel,Closed
PO0029,Industrial Parts,2026-02-07,Tool Box,351,147,28782,Linda,Closed
PO0030,Global Steel,2025-07-14,Storage Rack,252,228,18396,Robert,Partial
PO0031,ABC Metals,2025-12-05,Filing Cabinet,87,41,4437,Linda,Closed
PO0032,Industrial Parts,2025-08-09,Wooden Table,438,122,46866,Daniel,Partial
PO0033,ABC Metals,2026-01-21,Steel Cabinet,386,89,15826,Alice,Closed
PO0034,Prime Industries,2025-10-08,Workbench,99,62,4851,James,Closed
PO0035,Vertex Industries,2025-07-10,Steel Cabinet,463,253,52319,Robert,Open
PO0036,Vertex Industries,2026-01-05,Steel Cabinet,59,26,1947,Linda,Open
PO0037,Rapid Components,2025-12-17,Steel Cabinet,278,32,20294,Linda,Partial
PO0038,Titan Supply,2025-10-29,Steel Cabinet,234,7,20826,Linda,Partial
PO0039,Blue Manufacturing,2026-06-19,Steel Cabinet,109,52,7630,Robert,Closed
PO0040,United Supplies,2026-01-21,Filing Cabinet,311,20,35143,Linda,Partial
PO0041,Industrial Parts,2026-01-09,Metal Shelf,195,84,5655,Alice,Partial
PO0042,Global Steel,2026-01-05,Metal Shelf,465,140,38130,Linda,Closed
PO0043,Industrial Parts,2026-03-10,Tool Box,391,296,23460,Daniel,Partial
PO0044,Blue Manufacturing,2025-07-28,Metal Shelf,362,305,41992,Alice,Closed
PO0045,ABC Metals,2026-04-08,Metal Shelf,489,72,38142,Robert,Open
PO0046,United Supplies,2026-02-26,Office Chair,368,128,34960,Alice,Partial
PO0047,Prime Industries,2025-11-09,Wooden Table,301,227,20468,Robert,Closed
PO0048,Rapid Components,2025-10-23,Filing Cabinet,257,59,13364,Robert,Closed
PO0049,Global Steel,2026-03-10,Tool Box,453,425,54360,Daniel,Closed
PO0050,Vertex Industries,2026-03-14,Computer Desk,65,4,2275,Robert,Open
PO0051,Future Materials,2026-02-10,Workbench,147,43,17640,Robert,Open
PO0052,Rapid Components,2025-10-31,Computer Desk,182,152,12376,Linda,Closed
PO0053,Future Materials,2025-08-10,Storage Rack,386,335,13896,James,Partial
PO0054,Titan Supply,2026-03-13,Wooden Table,380,36,27740,Linda,Partial
PO0055,ABC Metals,2025-11-04,Locker,148,91,9916,Daniel,Partial
PO0056,United Supplies,2026-03-20,Filing Cabinet,156,42,11700,James,Partial
PO0057,Rapid Components,2025-10-02,Filing Cabinet,419,200,23883,Robert,Open
PO0058,Vertex Industries,2025-10-10,Workbench,286,221,12584,Alice,Open
PO0059,Future Materials,2026-03-17,Computer Desk,104,4,5824,Alice,Open
PO0060,Rapid Components,2025-08-01,Computer Desk,155,130,10075,Daniel,Partial
PO0061,ABC Metals,2025-10-24,Computer Desk,219,96,15768,James,Closed
PO0062,Blue Manufacturing,2026-05-25,Filing Cabinet,203,62,18473,Alice,Open
PO0063,United Supplies,2026-06-21,Workbench,400,184,37600,Linda,Partial
PO0064,Titan Supply,2025-08-03,Wooden Table,194,43,21146,Robert,Partial
PO0065,United Supplies,2026-01-22,Locker,324,191,17496,Linda,Open
PO0066,Global Steel,2025-08-12,Office Chair,474,213,55932,Linda,Closed
PO0067,Prime Industries,2025-09-14,Metal Shelf,390,383,27300,Alice,Closed
PO0068,Prime Industries,2026-01-12,Wooden Table,260,136,7020,Alice,Closed
PO0069,ABC Metals,2025-09-28,Filing Cabinet,95,6,10545,James,Partial
PO0070,Blue Manufacturing,2025-11-24,Computer Desk,386,268,16598,Daniel,Partial
PO0071,ABC Metals,2026-07-02,Office Chair,248,72,5456,James,Partial
PO0072,Titan Supply,2026-06-18,Storage Rack,280,278,19880,Alice,Closed
PO0073,Rapid Components,2025-11-04,Metal Shelf,151,126,12684,Linda,Partial
PO0074,Vertex Industries,2025-12-17,Filing Cabinet,124,118,3968,Robert,Partial
PO0075,United Supplies,2025-10-25,Workbench,394,279,31520,Alice,Partial
PO0076,Titan Supply,2025-09-10,Wooden Table,261,110,16443,Robert,Partial
PO0077,United Supplies,2026-06-08,Filing Cabinet,346,90,26988,Linda,Partial
PO0078,ABC Metals,2025-08-18,Steel Cabinet,242,112,16698,Linda,Closed
PO0079,Global Steel,2025-07-25,Locker,468,325,17784,James,Partial
PO0080,Vertex Industries,2026-06-18,Metal Shelf,335,331,34170,Alice,Partial
PO0081,Global Steel,2025-12-27,Storage Rack,228,135,5016,Alice,Partial
PO0082,Industrial Parts,2026-06-12,Steel Cabinet,323,285,21318,Linda,Partial
PO0083,ABC Metals,2025-12-10,Tool Box,364,306,39676,Daniel,Partial
PO0084,Prime Industries,2026-03-04,Tool Box,125,73,3250,Robert,Closed
PO0085,Industrial Parts,2026-06-13,Computer Desk,92,75,9568,Robert,Partial
PO0086,Future Materials,2026-04-09,Storage Rack,328,6,11480,Alice,Closed
PO0087,Vertex Industries,2025-07-03,Computer Desk,162,136,9396,Linda,Open
PO0088,Industrial Parts,2026-05-31,Office Chair,203,121,5887,Linda,Partial
PO0089,Global Steel,2025-11-26,Tool Box,426,302,28968,Daniel,Closed
PO0090,Global Steel,2025-09-23,Storage Rack,465,173,43710,James,Closed
PO0091,Future Materials,2026-03-29,Metal Shelf,383,345,42896,Robert,Partial
PO0092,Blue Manufacturing,2025-09-25,Filing Cabinet,102,92,11526,Robert,Closed
PO0093,Vertex Industries,2026-01-26,Storage Rack,330,146,10560,Linda,Partial
PO0094,Blue Manufacturing,2025-10-06,Tool Box,500,479,58000,Robert,Partial
PO0095,Blue Manufacturing,2025-08-16,Locker,381,89,31242,Robert,Closed
PO0096,Global Steel,2025-11-05,Steel Cabinet,411,101,39456,Robert,Closed
PO0097,Future Materials,2026-04-07,Computer Desk,133,10,9975,Robert,Partial
PO0098,ABC Metals,2025-12-29,Locker,417,154,36696,Linda,Open
PO0099,United Supplies,2025-07-20,Filing Cabinet,293,249,29007,James,Partial
PO0100,Vertex Industries,2026-04-17,Locker,471,361,21195,Linda,Partial
PO0101,Blue Manufacturing,2026-03-19,Storage Rack,446,14,14272,Daniel,Partial
PO0102,ABC Metals,2025-11-27,Office Chair,477,237,57240,Alice,Closed
PO0103,United Supplies,2025-11-14,Metal Shelf,64,36,5184,James,Open
PO0104,Future Materials,2026-04-22,Filing Cabinet,96,72,10272,Daniel,Partial
PO0105,Industrial Parts,2026-01-10,Tool Box,102,41,8874,Daniel,Open
PO0106,Vertex Industries,2026-03-14,Tool Box,104,86,11128,Linda,Partial
PO0107,United Supplies,2026-04-02,Computer Desk,283,78,28866,Daniel,Closed
PO0108,Prime Industries,2026-06-13,Locker,317,66,9510,James,Partial
PO0109,United Supplies,2026-05-16,Steel Cabinet,383,312,43662,Robert,Partial
PO0110,Rapid Components,2026-04-11,Storage Rack,141,5,8460,Daniel,Closed
PO0111,Global Steel,2025-10-31,Metal Shelf,194,148,14550,Alice,Open
PO0112,Vertex Industries,2025-09-03,Office Chair,486,147,19926,Robert,Closed
PO0113,United Supplies,2025-10-16,Steel Cabinet,443,361,17277,Linda,Closed
PO0114,Titan Supply,2025-09-07,Wooden Table,246,239,5904,Daniel,Open
PO0115,United Supplies,2025-11-24,Office Chair,102,11,11220,Robert,Partial
PO0116,ABC Metals,2025-08-23,Steel Cabinet,227,207,27240,Linda,Closed
PO0117,Global Steel,2025-11-30,Filing Cabinet,74,27,3626,Daniel,Partial
PO0118,Global Steel,2025-11-17,Tool Box,273,10,18018,Alice,Closed
PO0119,Titan Supply,2025-09-13,Workbench,333,72,32634,James,Closed
PO0120,Blue Manufacturing,2026-05-30,Storage Rack,126,51,9198,Robert,Open
PO0121,Prime Industries,2025-09-10,Steel Cabinet,278,213,12510,James,Open
PO0122,Rapid Components,2026-03-16,Wooden Table,446,73,19178,Robert,Open
PO0123,Future Materials,2026-05-20,Storage Rack,235,11,11750,James,Closed
PO0124,Rapid Components,2025-08-10,Office Chair,78,41,6474,Linda,Partial
PO0125,United Supplies,2026-06-09,Computer Desk,500,89,59000,Daniel,Partial
PO0126,ABC Metals,2026-01-06,Storage Rack,238,93,19040,Linda,Partial
PO0127,ABC Metals,2026-03-06,Filing Cabinet,247,97,18278,Linda,Partial
PO0128,Rapid Components,2026-05-11,Locker,404,17,35552,James,Open
PO0129,Rapid Components,2025-09-04,Office Chair,157,42,17113,Linda,Partial
PO0130,Rapid Components,2025-11-28,Computer Desk,118,75,5428,Alice,Open
PO0131,Vertex Industries,2025-07-08,Filing Cabinet,263,9,27352,Linda,Partial
