SO_Number,Customer,Sales_Date,Product,Order_Qty,Sales_Amount,Status
SO0001,Apple,2026-01-20,Storage Rack,244,55144,Cancelled
SO0002,Tesla,2026-03-14,Computer Desk,329,29939,Cancelled
SO0003,Dell,2025-07-08,Storage Rack,365,51465,Cancelled
SO0004,Dell,2026-05-27,Office Chair,134,19162,Completed
SO0005,HP,2026-04-02,Office Chair,495,106920,Cancelled
SO0006,Target,2026-02-26,Workbench,290,66990,Cancelled
SO0007,Costco,2026-01-09,Locker,469,98490,Open
SO0008,Samsung,2026-05-10,Wooden Table,201,38994,Cancelled
SO0009,Costco,2026-02-11,Locker,151,35183,Completed
SO0010,Apple,2025-12-22,Metal Shelf,486,106920,Open
SO0011,Tesla,2026-02-21,Filing Cabinet,368,73968,Cancelled
SO0012,Costco,2026-04-08,Filing Cabinet,471,43332,Open
SO0013,Best Buy,2026-03-13,Locker,65,5915,Cancelled
SO0014,Dell,2026-06-21,Locker,331,45347,Completed
SO0015,Costco,2025-12-13,Storage Rack,295,41595,Cancelled
SO0016,Target,2026-02-25,Locker,97,22019,Cancelled
SO0017,Apple,2026-03-01,Workbench,444,87912,Completed
SO0018,Best Buy,2025-12-23,Wooden Table,438,42924,Completed
SO0019,Amazon,2025-11-27,Tool Box,297,68013,Completed
SO0020,Best Buy,2025-08-12,Workbench,352,46816,Open
SO0021,Apple,2026-01-24,Computer Desk,454,93070,Cancelled
SO0022,Dell,2026-06-02,Steel Cabinet,312,74880,Cancelled
SO0023,Dell,2025-12-26,Steel Cabinet,226,51302,Cancelled
SO0024,Target,2026-05-26,Wooden Table,100,11400,Cancelled
SO0025,Best Buy,2026-01-27,Office Chair,371,89040,Cancelled
SO0026,Costco,2026-04-30,Wooden Table,191,33616,Open
SO0027,Tesla,2025-08-08,Filing Cabinet,444,72816,Completed
SO0028,Target,2026-06-04,Workbench,422,64566,Cancelled
SO0029,Tesla,2026-02-07,Tool Box,351,78624,Completed
SO0030,Walmart,2025-07-14,Storage Rack,252,35784,Completed
