Invoice_ID,Supplier,Invoice_Date,PO_Number,Invoice_Amount,PO_Amount,Difference,Validation_Status,Finance_Status
INV0001,ABC Metals,2026-02-04,PO0001,28419,28060,359,Mismatch,Pending
INV0002,Vertex Industries,2026-03-31,PO0002,24414,24346,68,Mismatch,Pending
INV0003,Global Steel,2025-07-17,PO0003,18290,17885,405,Mismatch,Approved
INV0004,Future Materials,2026-06-03,PO0004,8638,8174,464,Mismatch,Pending
INV0005,Future Materials,2026-04-06,PO0005,23254,22770,484,Mismatch,On Hold
INV0006,ABC Metals,2026-03-13,PO0006,22732,22620,112,Mismatch,Pending
INV0007,Prime Industries,2026-01-13,PO0007,27499,27202,297,Mismatch,Approved
INV0008,Global Steel,2026-05-29,PO0008,14237,13869,368,Mismatch,On Hold
INV0009,Prime Industries,2026-02-17,PO0009,3423,3322,101,Mismatch,Approved
INV0010,ABC Metals,2025-12-25,PO0010,32958,32562,396,Mismatch,On Hold
INV0011,Rapid Components,2026-03-07,PO0011,13269,12880,389,Mismatch,Approved
INV0012,Titan Supply,2026-04-13,PO0012,35574,35325,249,Mismatch,Approved
INV0013,United Supplies,2026-03-20,PO0013,5585,5525,60,Mismatch,Pending
INV0014,United Supplies,2026-06-26,PO0014,7177,6951,226,Mismatch,Pending
INV0015,Rapid Components,2025-12-31,PO0015,30963,30680,283,Mismatch,Pending
INV0016,Prime Industries,2026-02-28,PO0016,9220,8924,296,Mismatch,On Hold
INV0017,Prime Industries,2026-03-07,PO0017,19321,19092,229,Mismatch,Approved
INV0018,Future Materials,2026-01-06,PO0018,41983,41610,373,Mismatch,On Hold
INV0019,Industrial Parts,2025-12-06,PO0019,34464,34155,309,Mismatch,Approved
INV0020,Vertex Industries,2025-08-28,PO0020,22898,22528,370,Mismatch,Pending
INV0021,United Supplies,2026-02-05,PO0021,20577,20430,147,Mismatch,Approved
INV0022,ABC Metals,2026-06-08,PO0022,18821,18408,413,Mismatch,Pending
INV0023,Blue Manufacturing,2025-12-31,PO0023,5618,5424,194,Mismatch,On Hold
INV0024,Blue Manufacturing,2026-06-05,PO0024,9494,9300,194,Mismatch,Pending
INV0025,Prime Industries,2026-02-10,PO0025,34973,34503,470,Mismatch,On Hold
INV0026,Rapid Components,2026-05-15,PO0026,17667,17190,477,Mismatch,Pending
INV0027,Titan Supply,2025-08-25,PO0027,21022,20868,154,Mismatch,Pending
INV0028,Blue Manufacturing,2026-06-07,PO0028,46915,46420,495,Mismatch,Approved
INV0029,Industrial Parts,2026-02-15,PO0029,29099,28782,317,Mismatch,Approved
INV0030,Global Steel,2025-07-31,PO0030,18530,18396,134,Mismatch,Pending
INV0031,ABC Metals,2025-12-15,PO0031,4590,4437,153,Mismatch,Pending
INV0032,Industrial Parts,2025-08-12,PO0032,47248,46866,382,Mismatch,On Hold
INV0033,ABC Metals,2026-02-07,PO0033,16202,15826,376,Mismatch,On Hold
INV0034,Prime Industries,2025-10-12,PO0034,5235,4851,384,Mismatch,Approved
INV0035,Vertex Industries,2025-07-16,PO0035,52657,52319,338,Mismatch,Approved
INV0036,Vertex Industries,2026-01-16,PO0036,2312,1947,365,Mismatch,On Hold
INV0037,Rapid Components,2025-12-22,PO0037,20372,20294,78,Mismatch,On Hold
INV0038,Titan Supply,2025-11-02,PO0038,21239,20826,413,Mismatch,On Hold
INV0039,Blue Manufacturing,2026-06-29,PO0039,7863,7630,233,Mismatch,Approved
INV0040,United Supplies,2026-02-02,PO0040,35570,35143,427,Mismatch,Approved
INV0041,Industrial Parts,2026-01-23,PO0041,6056,5655,401,Mismatch,Approved
INV0042,Global Steel,2026-01-08,PO0042,38451,38130,321,Mismatch,Approved
INV0043,Industrial Parts,2026-03-21,PO0043,23516,23460,56,Mismatch,On Hold
INV0044,Blue Manufacturing,2025-08-01,PO0044,42207,41992,215,Mismatch,Pending
INV0045,ABC Metals,2026-04-16,PO0045,38567,38142,425,Mismatch,Approved
INV0046,United Supplies,2026-03-03,PO0046,35253,34960,293,Mismatch,On Hold
INV0047,Prime Industries,2025-11-24,PO0047,20603,20468,135,Mismatch,Approved
INV0048,Rapid Components,2025-11-11,PO0048,13658,13364,294,Mismatch,Approved
INV0049,Global Steel,2026-03-23,PO0049,54540,54360,180,Mismatch,Approved
INV0050,Vertex Industries,2026-03-22,PO0050,2375,2275,100,Mismatch,Pending
INV0051,Future Materials,2026-03-02,PO0051,17800,17640,160,Mismatch,Approved
INV0052,Rapid Components,2025-11-04,PO0052,12590,12376,214,Mismatch,Approved
INV0053,Future Materials,2025-08-23,PO0053,14140,13896,244,Mismatch,On Hold
INV0054,Titan Supply,2026-03-25,PO0054,28108,27740,368,Mismatch,Approved
INV0055,ABC Metals,2025-11-12,PO0055,10054,9916,138,Mismatch,Pending
INV0056,United Supplies,2026-03-30,PO0056,12008,11700,308,Mismatch,Pending
INV0057,Rapid Components,2025-10-21,PO0057,24153,23883,270,Mismatch,Approved
INV0058,Vertex Industries,2025-10-25,PO0058,12903,12584,319,Mismatch,Pending
INV0059,Future Materials,2026-04-03,PO0059,6279,5824,455,Mismatch,Pending
INV0060,Rapid Components,2025-08-13,PO0060,10497,10075,422,Mismatch,On Hold
INV0061,ABC Metals,2025-11-12,PO0061,15927,15768,159,Mismatch,On Hold
INV0062,Blue Manufacturing,2026-06-09,PO0062,18660,18473,187,Mismatch,On Hold
INV0063,United Supplies,2026-07-03,PO0063,38089,37600,489,Mismatch,Pending
INV0064,Titan Supply,2025-08-10,PO0064,21410,21146,264,Mismatch,Pending
INV0065,United Supplies,2026-02-11,PO0065,17898,17496,402,Mismatch,Approved
INV0066,Global Steel,2025-08-30,PO0066,56347,55932,415,Mismatch,Approved
INV0067,Prime Industries,2025-09-28,PO0067,27393,27300,93,Mismatch,On Hold
INV0068,Prime Industries,2026-01-25,PO0068,7401,7020,381,Mismatch,Pending
INV0069,ABC Metals,2025-10-12,PO0069,10934,10545,389,Mismatch,Approved
INV0070,Blue Manufacturing,2025-12-12,PO0070,16810,16598,212,Mismatch,Pending
INV0071,ABC Metals,2026-07-21,PO0071,5795,5456,339,Mismatch,On Hold
INV0072,Titan Supply,2026-06-30,PO0072,20374,19880,494,Mismatch,Approved
INV0073,Rapid Components,2025-11-21,PO0073,13038,12684,354,Mismatch,On Hold
INV0074,Vertex Industries,2026-01-04,PO0074,4057,3968,89,Mismatch,On Hold
INV0075,United Supplies,2025-11-04,PO0075,31590,31520,70,Mismatch,Pending
INV0076,Titan Supply,2025-09-18,PO0076,16513,16443,70,Mismatch,Approved
