Item_ID,Material,Warehouse,Stock,Reorder_Level,Inventory_Value,Low_Stock
ITM0001,Rubber Seal,Phoenix,488,111,58560,False
ITM0002,Sensor,Atlanta,69,62,10626,False
ITM0003,Transformer,Phoenix,923,170,143988,False
ITM0004,Steel Rod,Chicago,887,77,204010,False
ITM0005,Circuit Board,Atlanta,764,143,306364,False
ITM0006,Sensor,Phoenix,66,152,2376,True
ITM0007,Rubber Seal,New York,219,142,64167,False
ITM0008,Copper Wire,Phoenix,415,179,99600,False
ITM0009,Circuit Board,Dallas,865,80,64875,False
ITM0010,Bearing,New York,402,136,118590,False
ITM0011,Plastic Sheet,Phoenix,223,180,47945,False
ITM0012,Steel Rod,New York,66,59,5280,False
ITM0013,Aluminum Plate,Phoenix,551,166,47386,False
ITM0014,Rubber Seal,Phoenix,163,133,79218,False
ITM0015,Sensor,New York,186,150,60450,False
ITM0016,Transformer,Phoenix,364,179,157976,False
ITM0017,Rubber Seal,Atlanta,521,194,84923,False
ITM0018,Steel Rod,Dallas,397,134,140538,False
ITM0019,Bearing,Dallas,617,128,257289,False
ITM0020,Transformer,Phoenix,505,117,174225,False
ITM0021,Transformer,Atlanta,253,63,77924,False
ITM0022,Plastic Sheet,Chicago,556,147,47260,False
ITM0023,Steel Rod,Dallas,606,78,64842,False
ITM0024,Aluminum Plate,Atlanta,341,157,29667,False
ITM0025,Motor,Phoenix,440,178,178640,False
ITM0026,Aluminum Plate,Chicago,913,65,338723,False
ITM0027,Rubber Seal,Atlanta,232,193,40832,False
ITM0028,Rubber Seal,Chicago,405,130,202095,False
ITM0029,Aluminum Plate,Phoenix,954,186,176490,False
ITM0030,Sensor,Atlanta,712,117,229264,False
ITM0031,Motor,Phoenix,1000,113,152000,False
ITM0032,Circuit Board,New York,250,126,101000,False
ITM0033,Motor,Atlanta,726,175,124872,False
ITM0034,Sensor,Dallas,593,120,93101,False
ITM0035,Transformer,Atlanta,712,189,145248,False
ITM0036,Sensor,Dallas,997,87,157526,False
ITM0037,Circuit Board,Atlanta,998,70,186626,False
ITM0038,Circuit Board,Chicago,785,172,93415,False
ITM0039,Rubber Seal,New York,297,193,108702,False
ITM0040,Plastic Sheet,Chicago,131,200,17292,True
ITM0041,Steel Rod,Chicago,705,185,88125,False
ITM0042,Steel Rod,Atlanta,122,155,21838,True
ITM0043,Copper Wire,Phoenix,717,85,8604,False
ITM0044,Plastic Sheet,Chicago,436,171,110744,False
ITM0045,Circuit Board,Dallas,348,123,118320,False
ITM0046,Copper Wire,Phoenix,687,196,87936,False
ITM0047,Steel Rod,Chicago,955,94,212965,False
ITM0048,Steel Rod,Atlanta,876,151,361788,False
ITM0049,Plastic Sheet,Dallas,979,124,448382,False
ITM0050,Steel Rod,Dallas,325,195,103350,False
ITM0051,Sensor,Phoenix,311,166,105118,False
ITM0052,Rubber Seal,Phoenix,525,84,233625,False
ITM0053,Aluminum Plate,Dallas,299,99,126776,False
ITM0054,Sensor,New York,186,167,63426,False
ITM0055,Plastic Sheet,New York,34,136,14076,True
ITM0056,Transformer,Phoenix,710,99,70290,False
ITM0057,Bearing,New York,866,159,236418,False
ITM0058,Copper Wire,Chicago,430,74,44720,False
ITM0059,Aluminum Plate,New York,351,113,4563,False
ITM0060,Bearing,New York,261,164,103095,False
ITM0061,Sensor,Phoenix,329,199,125020,False
ITM0062,Steel Rod,Chicago,287,142,104468,False
ITM0063,Steel Rod,New York,703,80,174344,False
ITM0064,Plastic Sheet,New York,435,178,209670,False
ITM0065,Copper Wire,Phoenix,674,125,133452,False
ITM0066,Motor,Chicago,244,84,61976,False
ITM0067,Aluminum Plate,Phoenix,785,145,174270,False
ITM0068,Aluminum Plate,Chicago,795,187,333900,False
ITM0069,Motor,Atlanta,716,70,199764,False
ITM0070,Rubber Seal,Phoenix,740,142,36260,False
ITM0071,Copper Wire,Phoenix,83,190,39176,True
ITM0072,Motor,Chicago,606,187,52116,False
ITM0073,Sensor,Dallas,894,183,210984,False
ITM0074,Motor,Dallas,754,199,196040,False
ITM0075,Rubber Seal,Chicago,476,64,115192,False
ITM0076,Rubber Seal,Dallas,445,166,132610,False
ITM0077,Rubber Seal,Dallas,493,128,187340,False
ITM0078,Bearing,Chicago,280,50,109480,False
ITM0079,Transformer,New York,94,61,21244,False
ITM0080,Copper Wire,Dallas,574,65,280112,False
ITM0081,Aluminum Plate,Chicago,52,123,11388,True
ITM0082,Plastic Sheet,Atlanta,804,157,161604,False
ITM0083,Aluminum Plate,Dallas,910,146,183820,False
ITM0084,Rubber Seal,Chicago,156,139,10920,False
ITM0085,Rubber Seal,Chicago,422,185,31650,False
ITM0086,Steel Rod,Atlanta,794,55,128628,False
ITM0087,Rubber Seal,Chicago,454,186,92616,False
ITM0088,Motor,New York,491,138,43699,False
ITM0089,Motor,Atlanta,979,78,25454,False
ITM0090,Transformer,Chicago,804,54,106932,False
ITM0091,Copper Wire,Phoenix,123,58,29274,False
ITM0092,Steel Rod,Atlanta,270,61,58050,False
ITM0093,Motor,Dallas,572,105,226512,False
ITM0094,Plastic Sheet,Phoenix,535,124,69015,False
ITM0095,Sensor,New York,611,132,80041,False
ITM0096,Plastic Sheet,Atlanta,696,183,85608,False
ITM0097,Circuit Board,Phoenix,301,65,88795,False
ITM0098,Plastic Sheet,Atlanta,661,159,194334,False
ITM0099,Steel Rod,Phoenix,372,147,153264,False
ITM0100,Sensor,Chicago,733,156,160527,False
ITM0101,Circuit Board,Phoenix,405,97,160380,False
ITM0102,Aluminum Plate,Chicago,266,107,43358,False
ITM0103,Aluminum Plate,Atlanta,956,64,283932,False
ITM0104,Bearing,Atlanta,590,185,46020,False
ITM0105,Motor,Dallas,281,102,50299,False
ITM0106,Aluminum Plate,Phoenix,887,144,50559,False
ITM0107,Motor,Phoenix,72,118,14616,True
ITM0108,Transformer,Phoenix,60,68,6360,True
ITM0109,Rubber Seal,New York,242,172,28072,False
ITM0110,Circuit Board,Chicago,999,53,117882,False
ITM0111,Copper Wire,Chicago,784,172,374752,False
ITM0112,Transformer,Chicago,740,102,157620,False
ITM0113,Rubber Seal,Atlanta,349,122,71196,False
