Invoice_ID,PO_Number,Invoice_Date,Invoice_Amount,Tax,Discount,Final_Amount,Payment_Status,Calculated_Total,Invoice_Discrepancy
INV0001,PO0001,2026-05-29,82530,6602.4,150,88982.4,Pending,88982.4,False
INV0002,PO0002,2025-07-29,4692,375.36,0,5067.36,Paid,5067.36,False
INV0003,PO0003,2025-09-11,119658,9572.64,0,129230.64,Paid,129230.64,False
INV0004,PO0004,2025-12-24,75656,6052.48,200,81508.48,Paid,81508.48,False
INV0005,PO0005,2026-03-13,73206,5856.48,200,78862.48,Pending,78862.48,False
INV0006,PO0006,2026-05-08,37632,3010.56,50,40592.56,Paid,40592.56,False
INV0007,PO0007,2025-10-30,15885,1270.8,100,17055.8,Paid,17055.8,False
INV0008,PO0008,2025-12-21,64014,5121.12,200,68935.12,Paid,68935.12,False
INV0009,PO0009,2025-09-30,59598,4767.84,0,64231.84,Overdue,64365.84,True
INV0010,PO0010,2026-04-03,4599,367.92,100,4637.92,Paid,4866.92,True
INV0011,PO0011,2026-01-03,148144,11851.52,150,159845.52,Pending,159845.52,False
INV0012,PO0012,2026-04-27,22401,1792.08,150,24043.08,Overdue,24043.08,False
INV0013,PO0013,2025-08-25,20502,1640.16,0,22142.16,Overdue,22142.16,False
INV0014,PO0014,2026-03-20,73128,5850.24,0,78978.24,Pending,78978.24,False
INV0015,PO0015,2025-12-21,27755,2220.4,150,29825.4,Paid,29825.4,False
INV0016,PO0016,2026-05-20,168265,13461.2,150,181576.2,Overdue,181576.2,False
INV0017,PO0017,2026-02-14,46136,3690.88,0,49826.88,Paid,49826.88,False
INV0018,PO0018,2025-12-02,113208,9056.64,0,122264.64,Paid,122264.64,False
INV0019,PO0019,2025-10-30,139732,11178.56,50,150860.56,Overdue,150860.56,False
INV0020,PO0020,2026-01-13,31581,2526.48,100,34007.48,Overdue,34007.48,False
INV0021,PO0021,2025-07-21,28443,2275.44,100,30618.44,Pending,30618.44,False
INV0022,PO0022,2026-01-28,4047,323.76,0,4370.76,Overdue,4370.76,False
INV0023,PO0023,2026-03-08,43239,3459.12,200,46498.12,Pending,46498.12,False
INV0024,PO0024,2025-11-13,16500,1320.0,150,17670.0,Pending,17670.0,False
INV0025,PO0025,2026-02-14,144189,11535.12,150,155574.12,Pending,155574.12,False
INV0026,PO0026,2026-04-27,85981,6878.48,150,92709.48,Pending,92709.48,False
INV0027,PO0027,2025-12-06,35150,2812.0,50,37912.0,Paid,37912.0,False
INV0028,PO0028,2025-09-05,41783,3342.64,0,45125.64,Pending,45125.64,False
INV0029,PO0029,2025-07-29,70680,5654.4,0,76334.4,Paid,76334.4,False
INV0030,PO0030,2025-10-26,23048,1843.84,200,25170.84,Overdue,24691.84,True
INV0031,PO0031,2025-09-25,78660,6292.8,100,84852.8,Pending,84852.8,False
INV0032,PO0032,2026-02-08,74292,5943.36,150,80085.36,Pending,80085.36,False
INV0033,PO0033,2026-01-12,27376,2190.08,200,29366.08,Overdue,29366.08,False
INV0034,PO0034,2025-09-28,96036,7682.88,200,103518.88,Paid,103518.88,False
INV0035,PO0035,2026-04-03,36462,2916.96,0,39378.96,Pending,39378.96,False
INV0036,PO0036,2026-01-14,53067,4245.36,0,57312.36,Paid,57312.36,False
INV0037,PO0037,2026-05-10,135811,10864.88,150,146525.88,Overdue,146525.88,False
INV0038,PO0038,2025-10-27,108801,8704.08,200,117756.08,Paid,117305.08,True
INV0039,PO0039,2026-02-26,208320,16665.6,50,224935.6,Pending,224935.6,False
INV0040,PO0040,2026-01-26,160317,12825.36,100,173432.36,Overdue,173042.36,True
INV0041,PO0041,2026-01-05,16226,1298.08,150,17632.08,Paid,17374.08,True
INV0042,PO0042,2026-05-25,4288,343.04,200,4431.04,Pending,4431.04,False
INV0043,PO0043,2026-02-11,25410,2032.8,100,27342.8,Overdue,27342.8,False
INV0044,PO0044,2026-04-08,82208,6576.64,100,88684.64,Overdue,88684.64,False
INV0045,PO0045,2025-11-19,71757,5740.56,0,77497.56,Paid,77497.56,False
INV0046,PO0046,2026-01-23,24375,1950.0,200,25708.0,Pending,26125.0,True
INV0047,PO0047,2025-10-20,80190,6415.2,150,86455.2,Pending,86455.2,False
INV0048,PO0048,2026-07-06,17550,1404.0,100,18854.0,Paid,18854.0,False
INV0049,PO0049,2026-01-19,212976,17038.08,100,229914.08,Overdue,229914.08000000002,True
INV0050,PO0050,2025-08-31,19800,1584.0,200,21184.0,Paid,21184.0,False
INV0051,PO0051,2025-12-14,37682,3014.56,50,40646.56,Paid,40646.56,False
INV0052,PO0052,2025-08-17,42823,3425.84,0,46248.84,Paid,46248.84,False
INV0053,PO0053,2025-09-25,27730,2218.4,100,29848.4,Paid,29848.4,False
INV0054,PO0054,2026-05-02,39498,3159.84,150,42507.84,Paid,42507.84,False
INV0055,PO0055,2026-06-20,30480,2438.4,150,32768.4,Overdue,32768.4,False
INV0056,PO0056,2026-06-06,47085,3766.8,200,50651.8,Paid,50651.8,False
INV0057,PO0057,2025-09-20,22491,1799.28,150,24140.28,Pending,24140.28,False
INV0058,PO0058,2025-11-01,64367,5149.36,0,69516.36,Pending,69516.36,False
INV0059,PO0059,2025-11-15,58320,4665.6,200,62785.6,Overdue,62785.6,False
INV0060,PO0060,2026-02-09,38135,3050.8,150,41035.8,Paid,41035.8,False
INV0061,PO0061,2025-11-26,37366,2989.28,100,40255.28,Pending,40255.28,False
INV0062,PO0062,2025-07-28,33725,2698.0,100,36687.0,Paid,36323.0,True
INV0063,PO0063,2026-05-13,47410,3792.8,150,51052.8,Paid,51052.8,False
INV0064,PO0064,2026-05-07,71883,5750.64,150,77483.64,Paid,77483.64,False
INV0065,PO0065,2026-05-09,105051,8404.08,100,113355.08,Overdue,113355.08,False
INV0066,PO0066,2026-01-12,117096,9367.68,0,126463.68,Pending,126463.68,False
INV0067,PO0067,2025-07-21,48379,3870.32,100,52149.32,Paid,52149.32,False
INV0068,PO0068,2025-09-16,65700,5256.0,0,70658.0,Overdue,70956.0,True
INV0069,PO0069,2025-07-24,22720,1817.6,50,24487.6,Paid,24487.6,False
INV0070,PO0070,2025-12-23,22260,1780.8,150,23890.8,Overdue,23890.8,False
INV0071,PO0071,2026-06-16,8730,698.4,150,9278.4,Overdue,9278.4,False
INV0072,PO0072,2025-11-28,49149,3931.92,200,52880.92,Paid,52880.92,False
INV0073,PO0073,2026-03-07,76626,6130.08,150,82558.08,Pending,82606.08,True
INV0074,PO0074,2026-06-28,105777,8462.16,200,114058.16,Pending,114039.16,True
INV0075,PO0075,2026-06-18,4600,368.0,150,4818.0,Pending,4818.0,False
INV0076,PO0076,2026-04-23,159192,12735.36,100,172211.36,Overdue,171827.36,True
INV0077,PO0077,2025-09-29,20988,1679.04,200,22467.04,Overdue,22467.04,False
INV0078,PO0078,2026-03-07,69504,5560.32,200,74864.32,Pending,74864.32,False
INV0079,PO0079,2025-11-29,99034,7922.72,200,106756.72,Overdue,106756.72,False
INV0080,PO0080,2025-08-14,11847,947.76,150,12644.76,Pending,12644.76,False
INV0081,PO0081,2026-01-09,5085,406.8,0,5491.8,Overdue,5491.8,False
INV0082,PO0082,2026-05-23,47124,3769.92,0,50893.92,Paid,50893.92,False
INV0083,PO0083,2026-05-10,104575,8366.0,50,112891.0,Overdue,112891.0,False
INV0084,PO0084,2026-05-01,119288,9543.04,200,128631.04,Pending,128631.04000000001,True
INV0085,PO0085,2026-02-15,23045,1843.6,100,24788.6,Overdue,24788.6,False
INV0086,PO0086,2026-06-05,13470,1077.6,200,14493.6,Paid,14347.6,True
INV0087,PO0087,2026-02-06,28236,2258.88,100,30588.88,Pending,30394.88,True
INV0088,PO0088,2025-10-01,85696,6855.68,100,92451.68,Paid,92451.68,False
INV0089,PO0089,2026-02-08,30186,2414.88,100,32679.88,Pending,32500.88,True
INV0090,PO0090,2025-12-06,16335,1306.8,100,17541.8,Paid,17541.8,False
INV0091,PO0091,2025-07-16,86078,6886.24,200,92764.24,Pending,92764.24,False
INV0092,PO0092,2026-04-24,151745,12139.6,200,163684.6,Paid,163684.6,False
INV0093,PO0093,2026-01-30,79170,6333.6,200,85489.6,Overdue,85303.6,True
INV0094,PO0094,2025-12-14,69788,5583.04,100,75087.04,Paid,75271.04,True
INV0095,PO0095,2026-01-24,5044,403.52,100,5347.52,Paid,5347.52,False
INV0096,PO0096,2025-09-17,70725,5658.0,50,76333.0,Paid,76333.0,False
INV0097,PO0097,2026-06-02,113365,9069.2,100,122334.2,Overdue,122334.2,False
INV0098,PO0098,2026-06-14,68886,5510.88,200,74196.88,Paid,74196.88,False
INV0099,PO0099,2025-08-14,66120,5289.6,100,71309.6,Paid,71309.6,False
INV0100,PO0100,2026-04-05,103828,8306.24,200,111934.24,Paid,111934.24,False
INV0101,PO0101,2026-05-30,84630,6770.4,200,91200.4,Overdue,91200.4,False
INV0102,PO0102,2026-06-08,65056,5204.48,150,69983.48,Pending,70110.48,True
INV0103,PO0103,2025-09-15,75670,6053.6,200,81523.6,Paid,81523.6,False
INV0104,PO0104,2026-05-09,9009,720.72,200,9529.72,Paid,9529.72,False
INV0105,PO0105,2025-07-14,53339,4267.12,100,57506.12,Pending,57506.12,False
INV0106,PO0106,2026-02-14,11390,911.2,150,12151.2,Overdue,12151.2,False
INV0107,PO0107,2025-11-08,63184,5054.72,200,68038.72,Paid,68038.72,False
INV0108,PO0108,2026-06-02,46452,3716.16,200,49724.16,Overdue,49968.16,True
INV0109,PO0109,2025-09-07,39816,3185.28,150,42851.28,Paid,42851.28,False
INV0110,PO0110,2026-01-05,45902,3672.16,200,49374.16,Paid,49374.16,False
