PO_Number,Supplier_ID,Material,Order_Date,Expected_Delivery,Quantity,Unit_Price,PO_Amount,Status
PO0001,SUP037,Aluminum Plate,2026-05-28,2026-06-07,315,262,82530,Closed
PO0002,SUP013,Sensor,2025-07-24,2025-08-09,68,69,4692,Closed
PO0003,SUP027,Copper Wire,2025-09-09,2025-09-13,259,462,119658,Open
PO0004,SUP026,Motor,2025-12-19,2025-12-25,392,193,75656,Open
PO0005,SUP013,Bearing,2026-03-11,2026-03-18,294,249,73206,Open
PO0006,SUP018,Aluminum Plate,2026-05-03,2026-05-08,256,147,37632,Cancelled
PO0007,SUP007,Steel Rod,2025-10-28,2025-11-17,45,353,15885,Open
PO0008,SUP049,Bearing,2025-12-19,2025-12-27,454,141,64014,Closed
PO0009,SUP031,Steel Rod,2025-09-28,2025-10-13,129,462,59598,Open
PO0010,SUP025,Aluminum Plate,2026-04-02,2026-04-13,21,219,4599,Closed
PO0011,SUP028,Aluminum Plate,2026-01-02,2026-01-22,376,394,148144,Open
PO0012,SUP013,Transformer,2026-04-22,2026-04-26,171,131,22401,Cancelled
PO0013,SUP035,Steel Rod,2025-08-23,2025-09-05,51,402,20502,Open
PO0014,SUP038,Plastic Sheet,2026-03-15,2026-04-03,264,277,73128,Open
PO0015,SUP033,Copper Wire,2025-12-20,2025-12-28,61,455,27755,Cancelled
PO0016,SUP005,Bearing,2026-05-16,2026-05-26,365,461,168265,Open
PO0017,SUP037,Transformer,2026-02-10,2026-02-14,146,316,46136,Open
PO0018,SUP027,Sensor,2025-11-30,2025-12-19,356,318,113208,Closed
PO0019,SUP014,Motor,2025-10-25,2025-11-07,362,386,139732,Closed
PO0020,SUP026,Aluminum Plate,2026-01-08,2026-01-20,87,363,31581,Closed
PO0021,SUP049,Aluminum Plate,2025-07-16,2025-07-19,499,57,28443,Cancelled
PO0022,SUP037,Motor,2026-01-27,2026-02-16,71,57,4047,Cancelled
PO0023,SUP017,Copper Wire,2026-03-06,2026-03-20,87,497,43239,Open
PO0024,SUP024,Rubber Seal,2025-11-09,2025-11-26,165,100,16500,Cancelled
PO0025,SUP020,Steel Rod,2026-02-13,2026-03-04,333,433,144189,Cancelled
PO0026,SUP036,Plastic Sheet,2026-04-24,2026-04-30,173,497,85981,Closed
PO0027,SUP008,Plastic Sheet,2025-12-02,2025-12-22,475,74,35150,Closed
PO0028,SUP019,Motor,2025-09-04,2025-09-17,329,127,41783,Cancelled
PO0029,SUP041,Aluminum Plate,2025-07-26,2025-08-14,456,155,70680,Closed
PO0030,SUP004,Circuit Board,2025-10-21,2025-11-06,67,344,23048,Open
PO0031,SUP001,Circuit Board,2025-09-21,2025-09-28,190,414,78660,Open
PO0032,SUP048,Rubber Seal,2026-02-07,2026-02-23,246,302,74292,Open
PO0033,SUP008,Rubber Seal,2026-01-11,2026-01-18,58,472,27376,Open
PO0034,SUP024,Bearing,2025-09-24,2025-10-01,318,302,96036,Open
PO0035,SUP003,Sensor,2026-03-29,2026-04-02,177,206,36462,Open
PO0036,SUP044,Sensor,2026-01-09,2026-01-15,147,361,53067,Cancelled
PO0037,SUP027,Motor,2026-05-05,2026-05-12,337,403,135811,Open
PO0038,SUP012,Plastic Sheet,2025-10-24,2025-10-27,471,231,108801,Cancelled
PO0039,SUP022,Motor,2026-02-23,2026-03-11,420,496,208320,Closed
PO0040,SUP011,Bearing,2026-01-24,2026-01-30,423,379,160317,Open
PO0041,SUP031,Sensor,2026-01-04,2026-01-21,133,122,16226,Closed
PO0042,SUP015,Bearing,2026-05-21,2026-05-30,134,32,4288,Closed
PO0043,SUP018,Sensor,2026-02-08,2026-02-19,462,55,25410,Cancelled
PO0044,SUP033,Sensor,2026-04-03,2026-04-23,224,367,82208,Open
PO0045,SUP008,Transformer,2025-11-17,2025-11-25,469,153,71757,Closed
PO0046,SUP003,Sensor,2026-01-20,2026-02-05,75,325,24375,Cancelled
PO0047,SUP021,Copper Wire,2025-10-16,2025-11-04,243,330,80190,Closed
PO0048,SUP037,Bearing,2026-07-01,2026-07-05,117,150,17550,Open
PO0049,SUP034,Motor,2026-01-16,2026-02-05,493,432,212976,Closed
PO0050,SUP028,Transformer,2025-08-28,2025-09-10,55,360,19800,Closed
PO0051,SUP043,Rubber Seal,2025-12-09,2025-12-21,454,83,37682,Closed
PO0052,SUP043,Circuit Board,2025-08-15,2025-08-30,229,187,42823,Cancelled
PO0053,SUP009,Plastic Sheet,2025-09-24,2025-10-09,118,235,27730,Cancelled
PO0054,SUP037,Steel Rod,2026-04-30,2026-05-20,174,227,39498,Closed
PO0055,SUP019,Aluminum Plate,2026-06-18,2026-07-01,127,240,30480,Closed
PO0056,SUP029,Aluminum Plate,2026-06-03,2026-06-22,365,129,47085,Cancelled
PO0057,SUP011,Rubber Seal,2025-09-19,2025-10-01,357,63,22491,Cancelled
PO0058,SUP041,Motor,2025-10-31,2025-11-05,337,191,64367,Cancelled
PO0059,SUP020,Plastic Sheet,2025-11-11,2025-11-20,135,432,58320,Open
PO0060,SUP003,Aluminum Plate,2026-02-05,2026-02-10,145,263,38135,Closed
PO0061,SUP041,Aluminum Plate,2025-11-21,2025-12-06,314,119,37366,Closed
PO0062,SUP016,Copper Wire,2025-07-27,2025-07-30,95,355,33725,Closed
PO0063,SUP015,Aluminum Plate,2026-05-08,2026-05-27,110,431,47410,Open
PO0064,SUP036,Aluminum Plate,2026-05-04,2026-05-10,147,489,71883,Open
PO0065,SUP030,Transformer,2026-05-08,2026-05-28,361,291,105051,Closed
PO0066,SUP049,Bearing,2026-01-10,2026-01-29,476,246,117096,Cancelled
PO0067,SUP029,Aluminum Plate,2025-07-19,2025-08-06,479,101,48379,Closed
PO0068,SUP049,Rubber Seal,2025-09-14,2025-09-25,146,450,65700,Closed
