Shipment_ID,PO_Number,Dispatch_Date,Delivery_Date,Delay_Days,Shipment_Status
SHP0001,PO0001,2026-05-29,2026-06-13,6,Delivered
SHP0002,PO0002,2025-07-25,2025-08-12,3,In Transit
SHP0003,PO0003,2025-09-10,2025-09-17,4,Delayed
SHP0004,PO0004,2025-12-20,2025-12-26,1,Delayed
SHP0005,PO0005,2026-03-12,2026-03-26,8,Delivered
SHP0006,PO0006,2026-05-04,2026-05-08,0,In Transit
SHP0007,PO0007,2025-10-29,2025-11-25,8,Delayed
SHP0008,PO0008,2025-12-20,2025-12-31,4,Delivered
SHP0009,PO0009,2025-09-29,2025-10-20,7,Delivered
SHP0010,PO0010,2026-04-03,2026-04-18,5,In Transit
SHP0011,PO0011,2026-01-03,2026-01-26,4,Delayed
SHP0012,PO0012,2026-04-23,2026-04-24,-2,In Transit
SHP0013,PO0013,2025-08-24,2025-09-06,1,Delivered
SHP0014,PO0014,2026-03-16,2026-04-05,2,In Transit
SHP0015,PO0015,2025-12-21,2025-12-27,-1,In Transit
SHP0016,PO0016,2026-05-17,2026-05-25,-1,In Transit
SHP0017,PO0017,2026-02-11,2026-02-14,0,Delayed
SHP0018,PO0018,2025-12-01,2025-12-22,3,Delivered
SHP0019,PO0019,2025-10-26,2025-11-12,5,Delivered
SHP0020,PO0020,2026-01-09,2026-01-22,2,In Transit
SHP0021,PO0021,2025-07-17,2025-07-24,5,In Transit
SHP0022,PO0022,2026-01-28,2026-02-24,8,Delayed
SHP0023,PO0023,2026-03-07,2026-03-27,7,Delayed
SHP0024,PO0024,2025-11-10,2025-12-03,7,Delayed
SHP0025,PO0025,2026-02-14,2026-03-11,7,Delivered
SHP0026,PO0026,2026-04-25,2026-05-03,3,Delayed
SHP0027,PO0027,2025-12-03,2025-12-27,5,In Transit
SHP0028,PO0028,2025-09-05,2025-09-17,0,In Transit
SHP0029,PO0029,2025-07-27,2025-08-16,2,In Transit
SHP0030,PO0030,2025-10-22,2025-11-13,7,Delivered
SHP0031,PO0031,2025-09-22,2025-10-06,8,Delivered
SHP0032,PO0032,2026-02-08,2026-02-26,3,Delivered
SHP0033,PO0033,2026-01-12,2026-01-19,1,Delayed
SHP0034,PO0034,2025-09-25,2025-09-30,-1,Delivered
SHP0035,PO0035,2026-03-30,2026-04-05,3,In Transit
SHP0036,PO0036,2026-01-10,2026-01-15,0,In Transit
SHP0037,PO0037,2026-05-06,2026-05-16,4,Delayed
SHP0038,PO0038,2025-10-25,2025-11-03,7,Delivered
SHP0039,PO0039,2026-02-24,2026-03-18,7,Delayed
SHP0040,PO0040,2026-01-25,2026-02-03,4,Delivered
SHP0041,PO0041,2026-01-05,2026-01-26,5,In Transit
SHP0042,PO0042,2026-05-22,2026-06-05,6,In Transit
SHP0043,PO0043,2026-02-09,2026-02-27,8,Delivered
SHP0044,PO0044,2026-04-04,2026-04-29,6,Delivered
SHP0045,PO0045,2025-11-18,2025-11-30,5,Delayed
SHP0046,PO0046,2026-01-21,2026-02-05,0,Delivered
SHP0047,PO0047,2025-10-17,2025-11-07,3,Delayed
SHP0048,PO0048,2026-07-02,2026-07-12,7,Delivered
SHP0049,PO0049,2026-01-17,2026-02-08,3,Delivered
SHP0050,PO0050,2025-08-29,2025-09-15,5,Delivered
SHP0051,PO0051,2025-12-10,2025-12-22,1,Delayed
SHP0052,PO0052,2025-08-16,2025-09-05,6,In Transit
SHP0053,PO0053,2025-09-25,2025-10-17,8,Delayed
SHP0054,PO0054,2026-05-01,2026-05-24,4,In Transit
SHP0055,PO0055,2026-06-19,2026-07-06,5,Delayed
SHP0056,PO0056,2026-06-04,2026-06-27,5,Delayed
SHP0057,PO0057,2025-09-20,2025-10-01,0,Delivered
SHP0058,PO0058,2025-11-01,2025-11-12,7,Delivered
SHP0059,PO0059,2025-11-12,2025-11-21,1,Delayed
SHP0060,PO0060,2026-02-06,2026-02-08,-2,Delayed
SHP0061,PO0061,2025-11-22,2025-12-07,1,In Transit
SHP0062,PO0062,2025-07-28,2025-08-01,2,Delivered
SHP0063,PO0063,2026-05-09,2026-06-01,5,In Transit
SHP0064,PO0064,2026-05-05,2026-05-15,5,In Transit
SHP0065,PO0065,2026-05-09,2026-06-03,6,Delivered
SHP0066,PO0066,2026-01-11,2026-02-05,7,Delivered
SHP0067,PO0067,2025-07-20,2025-08-08,2,In Transit
SHP0068,PO0068,2025-09-15,2025-09-28,3,In Transit
SHP0069,PO0069,2025-07-24,2025-08-07,-2,In Transit
SHP0070,PO0070,2025-12-19,2026-01-05,5,In Transit
SHP0071,PO0071,2026-06-12,2026-06-22,1,Delayed
SHP0072,PO0072,2025-11-26,2025-11-29,-1,In Transit
SHP0073,PO0073,2026-03-05,2026-03-28,8,Delivered
SHP0074,PO0074,2026-06-28,2026-07-02,2,Delivered
SHP0075,PO0075,2026-06-18,2026-07-04,5,Delayed
SHP0076,PO0076,2026-04-23,2026-05-15,3,Delivered
SHP0077,PO0077,2025-09-26,2025-10-16,5,Delivered
SHP0078,PO0078,2026-03-07,2026-03-22,1,Delivered
SHP0079,PO0079,2025-11-27,2025-12-06,7,In Transit
SHP0080,PO0080,2025-08-14,2025-08-21,3,In Transit
SHP0081,PO0081,2026-01-07,2026-01-24,7,In Transit
SHP0082,PO0082,2026-05-22,2026-06-07,4,Delivered
SHP0083,PO0083,2026-05-07,2026-05-24,7,Delivered
SHP0084,PO0084,2026-04-29,2026-05-03,1,Delivered
SHP0085,PO0085,2026-02-13,2026-02-14,-2,In Transit
SHP0086,PO0086,2026-06-03,2026-06-12,3,In Transit
SHP0087,PO0087,2026-02-03,2026-02-13,2,In Transit
SHP0088,PO0088,2025-09-27,2025-10-10,6,Delivered
SHP0089,PO0089,2026-02-07,2026-02-17,3,In Transit
SHP0090,PO0090,2025-12-03,2025-12-16,2,Delayed
SHP0091,PO0091,2025-07-16,2025-07-31,7,Delayed
SHP0092,PO0092,2026-04-22,2026-05-07,6,In Transit
SHP0093,PO0093,2026-01-27,2026-01-31,-1,Delivered
SHP0094,PO0094,2025-12-13,2025-12-30,4,Delivered
SHP0095,PO0095,2026-01-21,2026-02-07,2,In Transit
SHP0096,PO0096,2025-09-16,2025-10-02,0,In Transit
SHP0097,PO0097,2026-06-02,2026-06-12,0,Delivered
SHP0098,PO0098,2026-06-10,2026-06-25,0,In Transit
SHP0099,PO0099,2025-08-10,2025-08-17,3,Delivered
SHP0100,PO0100,2026-04-04,2026-04-26,8,Delayed
SHP0101,PO0101,2026-05-29,2026-06-10,5,Delivered
SHP0102,PO0102,2026-06-07,2026-06-26,7,In Transit
SHP0103,PO0103,2025-09-12,2025-10-03,2,In Transit
SHP0104,PO0104,2026-05-06,2026-05-25,4,Delayed
SHP0105,PO0105,2025-07-10,2025-08-01,5,Delivered
SHP0106,PO0106,2026-02-11,2026-02-28,8,Delivered
SHP0107,PO0107,2025-11-07,2025-11-24,4,In Transit
SHP0108,PO0108,2026-06-02,2026-06-23,2,In Transit
SHP0109,PO0109,2025-09-03,2025-09-17,3,Delayed
SHP0110,PO0110,2026-01-03,2026-01-20,5,Delayed
SHP0111,PO0111,2026-02-24,2026-03-10,7,Delivered
SHP0112,PO0112,2026-02-02,2026-02-19,-1,In Transit
SHP0113,PO0113,2025-07-02,2025-07-18,5,In Transit
SHP0114,PO0114,2025-07-26,2025-08-22,8,In Transit
SHP0115,PO0115,2026-04-30,2026-05-14,3,Delivered
SHP0116,PO0116,2026-02-23,2026-03-03,6,Delayed
SHP0117,PO0117,2025-07-27,2025-08-09,1,Delayed
SHP0118,PO0118,2026-05-22,2026-05-28,1,Delayed
SHP0119,PO0119,2025-07-13,2025-07-18,2,Delayed
SHP0120,PO0120,2026-04-16,2026-04-27,2,Delayed
SHP0121,PO0121,2025-10-29,2025-11-13,6,In Transit
SHP0122,PO0122,2025-10-06,2025-10-17,0,In Transit
SHP0123,PO0123,2025-08-03,2025-08-11,5,Delayed
SHP0124,PO0124,2026-05-30,2026-06-15,8,Delivered
SHP0125,PO0125,2026-04-14,2026-04-19,-2,Delivered
SHP0126,PO0126,2025-09-14,2025-10-08,8,Delayed
SHP0127,PO0127,2025-07-27,2025-08-05,-2,Delivered
SHP0128,PO0128,2026-04-30,2026-05-09,0,Delayed
SHP0129,PO0129,2025-11-23,2025-12-06,5,Delivered
SHP0130,PO0130,2026-05-03,2026-05-13,4,Delivered
SHP0131,PO0131,2025-08-23,2025-09-03,0,In Transit
SHP0132,PO0132,2025-10-21,2025-11-08,2,Delivered
SHP0133,PO0133,2026-05-29,2026-06-14,2,Delivered
SHP0134,PO0134,2025-07-31,2025-08-12,8,Delayed
SHP0135,PO0135,2026-01-03,2026-01-15,2,Delivered
SHP0136,PO0136,2026-01-24,2026-01-29,3,In Transit
SHP0137,PO0137,2025-07-21,2025-08-05,8,Delivered
SHP0138,PO0138,2026-06-18,2026-06-26,-2,Delayed
SHP0139,PO0139,2025-11-04,2025-11-29,8,Delayed
SHP0140,PO0140,2026-06-26,2026-07-09,1,Delayed
