Invoice_ID,PO_Number,Invoice_Date,Invoice_Amount,Tax,Discount,Final_Amount,Payment_Status
INV0001,PO0001,2026-05-29,82530,6602.4,150,88982.4,Pending
INV0002,PO0002,2025-07-29,4692,375.36,0,5067.36,Paid
INV0003,PO0003,2025-09-11,119658,9572.64,0,129230.64,Paid
INV0004,PO0004,2025-12-24,75656,6052.48,200,81508.48,Paid
INV0005,PO0005,2026-03-13,73206,5856.48,200,78862.48,Pending
INV0006,PO0006,2026-05-08,37632,3010.56,50,40592.56,Paid
INV0007,PO0007,2025-10-30,15885,1270.8,100,17055.8,Paid
INV0008,PO0008,2025-12-21,64014,5121.12,200,68935.12,Paid
INV0009,PO0009,2025-09-30,59598,4767.84,0,64231.84,Overdue
INV0010,PO0010,2026-04-03,4599,367.92,100,4637.92,Paid
INV0011,PO0011,2026-01-03,148144,11851.52,150,159845.52,Pending
INV0012,PO0012,2026-04-27,22401,1792.08,150,24043.08,Overdue
INV0013,PO0013,2025-08-25,20502,1640.16,0,22142.16,Overdue
INV0014,PO0014,2026-03-20,73128,5850.24,0,78978.24,Pending
INV0015,PO0015,2025-12-21,27755,2220.4,150,29825.4,Paid
INV0016,PO0016,2026-05-20,168265,13461.2,150,181576.2,Overdue
INV0017,PO0017,2026-02-14,46136,3690.88,0,49826.88,Paid
INV0018,PO0018,2025-12-02,113208,9056.64,0,122264.64,Paid
INV0019,PO0019,2025-10-30,139732,11178.56,50,150860.56,Overdue
INV0020,PO0020,2026-01-13,31581,2526.48,100,34007.48,Overdue
INV0021,PO0021,2025-07-21,28443,2275.44,100,30618.44,Pending
INV0022,PO0022,2026-01-28,4047,323.76,0,4370.76,Overdue
INV0023,PO0023,2026-03-08,43239,3459.12,200,46498.12,Pending
INV0024,PO0024,2025-11-13,16500,1320.0,150,17670.0,Pending
INV0025,PO0025,2026-02-14,144189,11535.12,150,155574.12,Pending
INV0026,PO0026,2026-04-27,85981,6878.48,150,92709.48,Pending
INV0027,PO0027,2025-12-06,35150,2812.0,50,37912.0,Paid
INV0028,PO0028,2025-09-05,41783,3342.64,0,45125.64,Pending
INV0029,PO0029,2025-07-29,70680,5654.4,0,76334.4,Paid
